frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,14224,27540,39736,50974,61297,73207,82103,91437,104069,119423,132677,148143,177269,197836,262383,305825,376107,456143,614818,614818
1,947,2051,3150,3888,4517,4804,5134,5591,5462,6046,6488,6548,7059,7751,7863,7865,7843,8420,8342,8342
2,3553,4951,6896,8453,9681,10462,11370,12205,12106,13141,14096,14058,14994,16230,16632,16529,16834,18313,18888,18888
3,2230,3369,4435,4768,5008,5450,5470,5963,5918,5973,6335,6382,6401,6743,6976,6812,6917,6877,12257,12257
4,37857,62593,80254,85762,91797,97283,98183,98310,96394,97981,102720,102568,102148,110377,114333,113689,114584,115975,158608,158608
5,2641,2828,3470,3867,4117,4467,4853,4799,4791,4830,5228,5188,5210,5526,5657,5705,5686,5748,6582,7009
6,6088,6423,7862,9116,9766,10652,11482,11462,11511,11555,12515,12535,12502,13456,13408,13695,13553,13569,15845,16953
7,4061,4450,5597,6449,6920,7416,8130,8063,8038,8103,8743,8771,8739,9325,9334,9362,9393,9291,10829,11711
8,50704,76443,95569,107880,117180,126829,129595,127993,126837,128381,144743,145050,142559,156826,159950,159559,160066,159888,174064,188407
9,3942,6308,5807,6791,7888,8508,9367,9235,10236,10110,10981,11119,11117,12348,11241,11088,11120,12031,13329,14650
10,23071,37337,36193,41484,47261,50584,53884,53405,56435,57249,60896,60637,61019,65335,61082,60913,60982,65160,69922,74114
11,5272,8831,11793,13778,17522,18290,23423,22366,24500,26504,25158,25858,27253,31451,27768,27464,27598,30402,34238,35820
12,30270,64942,105441,169779,197884,198149,220507,218636,225248,226644,228058,225769,225663,242734,228863,230226,229881,243994,263088,263603
13,6737,11234,13167,15405,20955,24739,27645,32325,36149,35433,36028,37901,34837,40866,39879,36487,40208,39080,41781,43560
14,17833,38078,46299,52933,63495,71807,75270,80129,84992,85248,91165,90735,90677,97512,90950,90915,90757,97577,102883,103592
15,5934,10856,15441,23768,31875,36824,37269,42509,42767,42726,46372,45727,47072,50916,44107,45475,46850,49306,55904,53961
16,24599,51568,82427,126957,175337,202840,263412,280761,279911,279797,295199,293272,295157,318597,294984,293851,294225,319433,320164,321853
17,5244,10116,15226,22249,18104,26158,28818,37749,42819,52360,56555,55800,61602,65205,61982,61403,60603,64588,64421,65754
18,19677,42181,57695,69773,64714,76723,82068,99556,110152,120601,127531,126569,133556,141306,134492,133218,133880,141046,141658,142516
19,4564,9198,15144,21013,28547,37399,41168,52692,55726,64692,69853,72574,73505,76657,74963,72142,73282,77956,79542,78346
20,28831,50577,70958,91274,115919,131980,153393,171806,231959,254277,288540,288476,334845,331460,335048,335777,338333,338153,338718,337858
21,3878,7373,12432,16327,22577,23629,33060,37170,36511,47581,50920,58478,58463,70849,75316,77016,77815,85049,83118,83771
22,16658,37759,55479,68095,87558,96080,109842,116359,117701,133600,141398,167524,170794,202101,218812,220753,222023,220334,221182,221594
23,3818,7210,12503,17185,22975,30135,35500,45013,45037,53284,57098,75816,76126,88275,95430,96688,96555,95865,93899,96467
24,30108,66489,97919,129910,164550,188453,205291,275172,277436,360448,365769,533808,534292,634034,766498,770349,766387,767473,768508,777434
25,3754,6888,11376,15445,23620,38597,26116,32995,38530,46609,51170,61540,66509,72180,71405,79680,79259,79433,80480,79982
26,12392,23014,43237,57342,85592,99454,89931,104632,110729,127501,136983,170695,185376,206884,209790,236693,236726,237080,235593,240504
27,5571,10511,16582,22697,27272,32554,40286,47086,50834,59601,64057,83236,91903,89992,103744,113475,113826,115462,114977,115791
28,30039,63005,95177,134534,172931,230678,275127,303834,342059,394418,462877,465776,534980,624137,618881,613560,725250,728099,725753,732759
29,3973,7440,12483,17638,25774,38354,50985,63351,47771,54317,65481,71141,75914,82629,95987,94603,103258,105447,103314,104831
30,17343,34927,56564,75440,100076,111705,117300,131890,140608,161117,196709,213543,231409,268684,238548,264938,309214,311757,307491,305711
31,4235,8182,13277,19065,25182,35322,49644,59260,58772,63544,66416,70549,78388,77217,98547,108008,106516,120458,121232,133233
32,28810,60166,93008,139123,181296,208553,238819,267327,307718,383015,420519,471333,544159,546572,545561,638708,726297,734207,726869,861780
33,3594,7084,10373,13170,17813,26677,39490,53248,66206,76295,85635,85211,107452,107055,85133,92834,107800,120649,117282,118205
