frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,12916,12916,22185,33184,40442,50733,58390,67593,72400,83024,88626,95232,101397,108868,115866,123950,131791,140147,149614,149614
1,577,577,712,1585,1737,2168,2035,2180,2381,2344,2556,2554,2707,2704,2923,2872,2874,3111,3077,3077
2,1532,69128,71439,65363,57562,47129,39323,28909,23762,14650,12965,11665,10966,10452,10347,10073,9821,9868,9576,9576
3,765,630,707,2020,3382,6204,8326,8609,8943,8918,8515,8602,8188,8002,8012,8049,7872,7890,7778,7778
4,56895,36320,59502,122246,135615,160947,167339,187149,197962,217997,227803,233058,227716,221220,216053,210530,203977,195297,185354,185354
5,699,686,923,1848,2488,2793,2758,3042,2994,3276,3292,3206,3864,4563,4838,5215,5646,6169,6611,7262
6,1517,2992,3586,5227,6529,6985,6917,7568,7482,8138,8163,8114,9528,11209,12138,13126,14357,15723,17278,19176
7,1051,2307,2838,4340,5441,5864,5919,6276,6114,6772,6808,6736,7980,9018,9979,10956,11887,12711,13946,15208
8,21496,60800,86552,90819,114060,109360,104149,105937,102010,107229,103781,101407,126094,134569,144855,145442,158218,173537,174551,192629
9,600,647,2140,2953,3166,3182,3171,3463,4608,5415,6827,8621,7827,8646,9178,10137,10172,9799,10807,10814
10,2963,3042,5711,7204,7742,7757,7623,8379,11503,13466,17748,23932,23458,23393,24715,27890,27032,29215,28793,32242
11,2161,2134,4723,5180,5557,5635,6280,6766,9568,11222,13844,18171,18229,18123,19918,21222,21491,23373,23213,25561
12,11606,58952,75311,77687,73766,71565,78692,84120,113785,114743,135539,159858,156179,155510,161568,175094,168977,164837,164143,171618
13,2089,1892,2840,3382,3407,3413,6113,8406,7823,9132,9125,8413,9947,11680,12779,13986,15119,17938,19456,21456
14,6363,5413,7450,8631,8463,8630,15207,21344,18808,22249,21853,19844,23476,27709,29606,33102,36358,46110,46319,50237
15,4225,4512,6144,6450,6593,7197,12757,17512,15926,18489,18516,17089,20115,23408,25056,27985,30319,38037,37487,40911
16,24521,44964,46193,79534,84573,91676,139481,171826,146736,170967,162109,142161,153091,173857,171227,182019,195062,222709,222611,219542
17,829,2366,3354,4036,4045,4282,4759,4747,6614,6086,8271,12533,13466,13531,15542,15596,17186,15535,18404,19926
18,3814,6666,8469,9961,9994,10671,11546,11437,15416,14191,19145,28936,30472,30201,36005,35390,39186,35407,40921,43909
19,2961,5617,7263,7682,7793,9549,9970,9914,13078,12185,16098,24258,26047,25737,30427,30922,33715,30987,35334,38132
20,19959,28919,50065,38286,49031,57064,57475,54705,71417,63332,81107,108025,111988,109466,116946,115965,123518,113258,121010,130230
21,948,3773,4309,4641,5010,10894,12537,12731,20988,24484,26768,25808,28413,33791,37476,40727,44421,53833,58394,57587
22,4291,8854,9432,9927,10734,23463,27008,27370,46418,49361,57255,55168,59986,71931,78276,82591,86477,87571,92125,98622
23,3297,7209,8077,7950,9322,19776,23068,22742,37609,41524,46762,47524,51187,60909,65859,68785,73070,73086,76706,82232
24,8969,27908,21807,39447,51564,71988,86848,103730,102488,117056,123704,137046,145853,156129,166381,178371,189422,205707,243404,242594
25,2410,3443,3732,4481,4973,11653,12553,11541,15796,17017,19995,19693,21386,22914,25119,25221,27284,24886,20922,24778
26,6659,7839,8257,9442,10305,24339,26167,23488,32742,34666,41448,41170,44316,48215,51210,51350,55289,50685,43286,50632
27,3394,5843,6349,6645,8024,19138,20521,19063,25990,28110,33545,33442,35978,38567,41238,41985,44862,41583,35573,41321
28,10778,16700,29653,44275,62375,77377,90769,110801,119957,125332,141651,161235,158527,166156,177141,177588,176681,171734,148654,169629
29,2022,2815,3632,3898,6698,9824,10468,9853,12218,14310,14148,13267,16591,19206,19352,22247,26968,31018,41151,36478
30,5556,7653,8829,9280,14669,21324,23027,21170,26959,31500,31784,29061,36990,43463,43376,50711,60661,71721,87328,85865
31,3487,5493,6738,6212,10937,16218,17732,16395,20778,24640,24417,22597,29679,34818,34474,41216,49839,57131,67987,67374
32,14986,22479,31438,42889,62489,72630,88924,94774,113783,126317,124800,116388,130165,139832,139085,158579,169789,184890,234477,231969
33,750,2737,3171,3456,7195,9901,9844,11678,11653,12567,14855,19325,21159,22784,27988,28173,27447,27448,19138,22529
34,3789,7993,8508,8934,16510,23117,22592,26933,26390,28379,33626,43710,47405,50699,61148,61180,60149,59516,42089,48866
35,2270,5398,6133,5816,12384,17071,16759,19842,19865,21471,25298,33596,35672,38909,45955,46282,45688,46690,32817,37795
36,11957,26634,36684,42732,56302,73625,83742,97394,102210,108577,113537,132777,141150,150960,161913,160797,159136,156865,125988,145543
37,1141,2046,2425,2765,8001,8552,9241,9820,11927,12974,15536,15339,16711,18288,20359,25012,27667,34111,47654,46872
38,3965,6093,6534,6834,20354,21415,23391,25058,29641,32992,39775,39082,42127,45318,49766,60266,65256,74766,80393,91942
39,3113,5286,5850,6276,17129,18230,19861,21578,25186,28086,32418,32472,34476,37877,40466,48304,51743,58240,61879,68950
40,14117,29689,41850,55639,67034,88987,103767,118022,121902,128012,137822,134958,142840,151863,151086,174117,175017,222556,223819,268182
41,1523,3313,3649,4446,9059,8258,8322,8870,11273,12994,14257,18463,19936,21592,26648,24189,29062,19836,23672,16445
42,4853,8011,8518,10027,21033,18914,19088,20609,26146,30591,33163,43292,46836,50447,59651,54275,65582,45961,53853,39464
43,3462,6201,5997,8001,16159,14926,14822,15936,20269,23860,26112,34342,37684,40694,48802,44072,53557,37384,43851,32215
44,12517,18973,32802,42514,52633,65558,87899,85592,102772,116855,115448,131629,139128,147769,158602,145132,168677,131467,140093,120262
45,2076,2830,3329,6116,8809,10102,10939,14061,14322,15127,19635,19573,21406,24062,26353,34018,30931,50017,49665,57400
46,6542,7732,8083,15389,21476,24730,26817,34236,33810,36680,46213,45585,49649,53274,57796,72398,67715,88447,93821,83416
47,3809,5686,6292,11336,15820,18469,19787,24919,24747,26911,33925,33732,36260,39346,42802,53642,50457,63539,68101,59656
48,12603,21617,30585,48249,59084,72581,81400,94336,99433,118421,126464,133936,141854,140227,149056,195356,160935,209838,230216,208842
49,1587,2429,2771,5904,8672,10041,10805,11625,13962,13502,16801,18678,20163,25266,27372,18522,35688,22451,22171,29482
50,4979,6434,6666,14541,20664,24246,26038,27673,33707,32945,39130,41871,45273,54953,60608,41033,72552,48944,48292,64487
51,3480,5121,5463,11679,16305,19218,20695,22102,26771,26297,31335,33625,36649,43183,46267,33794,55066,39713,39984,49208
52,15015,23756,38296,58889,66237,81850,92975,106245,118503,124732,133976,141337,149587,159543,173316,134941,216484,143403,141666,166647
53,892,2406,3117,5688,7193,7903,9130,9903,10732,12389,13512,15891,17315,19069,18998,33197,16061,40194,46248,42544
54,3945,6906,7888,13774,17631,18929,22271,24273,25937,30623,33614,39320,42642,45777,45667,74110,38576,83457,88281,87100
55,2824,4932,5922,10524,13413,14634,17147,18337,20038,23550,25786,29880,32039,34317,34517,53289,29582,59183,62176,62471
56,14979,24351,36594,52974,65063,87331,101913,106572,112830,116896,123633,131202,138861,147050,144753,216477,124488,235077,255298,251516
57,1622,2529,3168,5637,7113,7126,7740,9693,11450,13330,16060,17561,18857,20855,24854,13283,40201,15935,16061,18830
58,4952,6432,7256,12895,16249,16062,17367,22447,26854,32142,37859,40678,43703,47016,57008,31244,74570,36848,36316,42601
59,3589,5083,6011,10505,13529,13224,14709,18823,21735,25633,29749,31970,34017,36982,44314,25344,56487,29273,29429,34169
60,12982,23180,39796,51660,63640,75817,79925,94243,104990,111187,119014,125944,132668,132352,154196,103872,200155,110788,109515,125900
61,1438,2536,3427,5769,7410,8842,11447,12057,13151,15331,16264,19429,21642,25010,23032,40311,19325,45921,36622,47875
62,4018,6249,7744,13364,17295,19876,25720,27068,29836,35017,37262,43714,48213,56715,51455,65411,42682,68741,69453,77091
63,3152,5149,6525,11720,14683,17183,22409,24521,26641,31407,33606,39600,42688,49881,46084,54622,39433,57817,58076,63943
64,13343,24692,35467,46766,58632,70609,84894,95304,106528,113879,120267,126221,135598,150097,145350,192006,121188,190331,187860,228162
65,1679,2591,4482,6852,9208,10096,10991,11700,12572,15069,16582,19749,21844,21732,28215,17828,46459,25788,27743,23667
66,4538,6170,9940,14980,21149,22734,24620,26059,28170,34486,36628,42561,46158,45535,59255,38591,82305,53745,58051,48936
67,3716,5067,8523,12551,17118,18762,20265,21665,23635,28346,30765,35709,39406,39522,49384,33186,65883,46739,50655,41994
68,12889,23877,32621,47935,58481,72155,90650,101916,105969,120851,119284,134911,133124,132446,154174,119501,198016,147449,147922,134938
69,1958,2655,6100,7662,9642,10463,10387,10985,13002,14110,18183,18111,23840,27756,25634,40224,21514,39372,46579,53578
70,5736,6767,14110,17503,22065,23653,22933,24629,28905,31214,40290,40356,51047,61097,55588,79998,45972,79585,90396,89565
