frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,8586,25148,38830,51116,61896,74329,83796,94961,106936,113008,126192,133684,142535,149396,157627,165390,175417,185955,200519,212241
1,561,977,2590,5708,9514,12041,14850,16708,18369,19899,21890,22050,24047,24114,24151,25808,26116,25994,28089,28189
2,5620,6118,6797,12099,16286,19428,22841,25007,26960,29134,31531,31526,34427,34239,34395,36433,36733,36532,39360,39627
3,1873,4793,5875,11326,15510,18711,22226,24504,26558,28660,30971,20254,22298,22355,22321,22280,22302,22219,24270,24152
4,32722,32499,40318,48810,49149,55704,58811,69491,74823,89130,99087,128091,139927,157898,155606,152948,154846,153063,152283,153302
5,2920,4461,8937,15895,19305,20997,23018,27214,27262,31998,34779,34864,37512,37423,37525,19649,19631,19768,19682,19754
6,5609,10559,14226,19458,25542,29677,34999,40891,31042,36503,49912,42508,45344,45137,45186,28597,28595,28760,28648,28563
7,3955,9607,13660,18406,24710,28957,34086,39167,28664,30904,41762,35816,38630,38861,38841,26615,26710,29104,29025,29104
8,6988,22206,27773,34295,39786,51297,59158,62937,72524,77435,90132,93481,101521,111629,118403,118115,117340,125309,124398,123991
9,4126,7677,13792,19220,23071,29767,35270,40689,20822,25073,54559,29578,32245,34832,34832,29799,29936,32539,32172,32510
10,5810,10903,14711,19720,25683,29931,35379,41167,31489,37322,54393,43301,46442,49812,49784,42982,43138,46269,46093,46233
11,3845,9807,13737,18904,24554,29011,34630,40050,31429,36782,52919,42516,45844,49306,48975,42928,42953,45879,45771,45857
12,14421,19597,27098,35512,42737,55727,59217,68417,84861,90232,95366,97522,105055,113935,126165,133256,141921,153005,162894,161550
13,3836,8938,12574,17579,23534,27689,32775,38271,25334,29878,55379,37998,40897,44568,47679,44207,44740,51134,50907,51287
14,4572,9288,14263,19251,23032,29665,34792,40689,36654,42890,53934,53418,57072,61511,65849,60221,60604,69395,69401,69737
15,3506,8328,13632,19342,23190,29239,34473,40542,37173,43081,53988,53853,57017,61274,64911,60162,60554,69188,68916,69399
16,13588,18865,26481,38701,50778,60254,68875,79612,91223,96483,115790,121239,130010,137678,148673,154639,158836,167469,175368,186888
17,3539,8669,12469,17122,20719,26864,31785,34789,27320,32113,50758,44143,47106,50802,53936,57107,57312,60376,65053,69684
18,5204,9263,14395,19168,22925,26990,31889,37405,39956,46234,50130,57947,61707,66402,71148,79802,79658,83776,88862,94575
19,4149,8236,13447,19001,22659,26891,31619,37432,40379,46192,50098,57090,60579,65283,69460,76926,76961,81738,85611,91438
20,13165,21770,30039,26771,31094,31620,36797,42919,49295,53042,81049,70550,75399,80864,84992,95324,105833,112813,120775,120195
21,3845,8591,12646,17429,25203,29829,35634,41417,30321,35555,54993,48207,51224,55135,57934,66456,71067,74767,78551,78948
22,4431,9076,14366,19370,24932,29664,35092,40684,43874,50797,54470,62124,66671,72299,75993,85826,91332,96894,103409,103442
23,3446,8145,13536,18848,25488,30181,35756,41882,45075,51710,55407,62814,67066,72182,75554,84845,89749,95297,101297,101385
24,15588,15136,21600,27355,33398,40894,48881,56835,66781,72003,77660,92513,99719,109546,125107,133334,139879,150007,159437,171145
25,3909,8722,13751,20600,25034,29896,35242,41175,32524,38325,55552,47749,54831,58422,61959,71267,79646,84285,88938,89527
26,4273,9046,14045,20941,25181,30025,35650,41162,47898,51903,55856,64020,68797,73921,78260,82797,87925,93774,99037,106434
27,3360,7847,12852,20563,24581,29421,34424,40746,46770,50787,54379,61436,65972,71074,74101,78399,83385,87848,92990,99071
28,9890,15707,20876,28557,33922,41772,48554,57252,66054,70915,77039,88268,95330,103548,108415,123347,125949,136778,145109,152880
29,3573,9395,14982,18843,24916,29803,35139,41031,35286,37998,55614,52018,55083,58702,67119,71616,79501,83748,88690,94521
30,5162,10250,15757,21197,25245,29982,35158,40985,47700,51149,55441,63184,67953,72802,76940,81540,85939,90908,96793,103826
31,4219,9216,14564,20713,24704,29334,34611,40329,46627,50052,54157,61045,65360,69936,72940,77624,81924,86494,92186,98503
32,7736,16019,21104,28532,34251,40813,47990,55518,64698,69173,83669,85900,92442,100302,113604,120458,123574,133574,141764,147884
33,3493,8564,15272,19241,25082,29995,35652,41694,35899,38392,55169,51943,55737,58905,67541,71960,75838,80124,89655,95434
34,5326,10330,15865,19553,25246,30332,35601,41527,48041,51886,55357,63412,68265,73180,77701,81916,92008,92138,97596,104279
35,4274,9497,14928,19176,24765,29941,35267,41173,47441,50439,54506,61708,66413,71125,75272,78781,88444,88924,93373,99988
36,9260,14182,21151,29203,35610,44566,52982,62119,72164,77650,60235,96340,103809,112783,116634,131189,131871,141767,148833,154765
37,3190,8193,13558,18643,24668,29486,34641,37639,35168,37767,54157,58383,54709,62052,66296,70731,78779,83684,88209,94223
38,5761,9801,15357,20382,24471,29114,34234,40191,46955,50488,53814,62436,66824,71719,75993,79922,90167,90072,95081,101723
39,3859,8778,14500,20459,24431,29028,34145,40249,46687,50040,53815,61093,65374,69869,73642,77372,86427,86908,91683,97833
40,9493,15750,20974,27857,31821,39345,42094,49875,58007,62961,85144,77514,83111,89667,99566,105352,120371,129710,137005,153595
41,3491,9450,15237,18406,24171,29332,34836,40515,34990,37729,54410,61379,54245,61506,65882,70406,78004,82603,87704,93500
42,4990,10016,15614,20430,24519,29273,34389,40057,46564,50258,54040,61469,65989,71140,75266,84354,89181,89279,94862,101631
43,4117,9085,14410,20316,24498,29341,34474,40262,46627,50150,53704,60721,65339,69766,73313,81912,86205,86373,91744,97389
44,8986,16024,21966,26649,32595,43454,47539,55387,64935,70519,80856,89356,97122,107750,123281,132136,139300,150214,158662,167031
45,3638,9422,14827,20302,24237,29293,34686,40511,35101,37735,54922,61333,54599,61685,66206,74954,78246,78331,88126,94225
46,5076,9939,15313,20414,24323,31644,34555,40149,47146,50954,54620,62419,67256,72410,76756,81207,91309,90982,97742,104299
47,4131,8864,14210,20268,24028,31177,34275,39999,46332,50063,53868,61022,65248,69985,74284,78222,87092,87018,92453,98109
48,9000,12638,20573,27782,37238,44154,51600,55247,64119,68985,76132,85254,92704,101035,105314,120429,123264,133341,133551,147143
49,3503,9298,14811,18561,24686,29657,34961,40859,35158,37616,55161,61549,66608,71464,66521,75095,79178,79177,84177,94913
