frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,6555,6555,6555,11596,16306,21876,25452,29486,31541,36066,38525,41023,43696,46657,49667,52755,56314,59444,59444,63622
1,40683,40683,40683,34638,31625,28234,24396,22655,20478,18283,15295,11913,8715,6399,7071,5673,4851,5318,5318,4915
2,604,11313,15971,37594,35157,32559,32472,32354,34400,33883,31786,34132,30947,32563,30149,32293,29013,30921,30921,27157
3,247,951,1293,3319,3675,4194,4548,5156,5952,6550,6277,7265,7304,8260,8272,9379,9360,10521,10521,10916
4,29752,43881,43881,50033,57005,65038,73186,81145,79988,87713,92211,96864,101806,108346,111355,116237,119900,124757,124757,128063
5,862,1008,1352,1903,2384,1832,5123,6151,6265,8117,8742,9857,9211,10817,10098,11915,11368,11252,11252,12249
6,2513,2899,4347,5909,7584,8522,12628,15878,15738,20079,21821,24239,27503,30159,32357,35200,37377,41332,41332,45493
7,1567,1900,2423,3193,4425,5304,7355,8569,8358,10164,11322,12863,13988,16016,16856,18522,21052,22943,22943,25062
8,68356,48439,52422,62920,74670,78869,85350,96760,94904,100334,103829,101699,104422,109262,107356,112063,115910,114902,114902,120301
9,676,789,1153,1730,2400,3723,6127,7999,14147,22095,25568,25565,28222,30602,30310,32055,32080,35802,35802,34045
10,2493,3503,8320,13340,15841,19045,29445,35469,52823,56188,59838,59897,63503,67728,67359,70834,76705,76074,76074,80574
11,1649,2060,4453,6584,7913,9870,15541,18333,24357,27079,28199,29041,31172,33664,33182,37118,39696,39347,39347,42589
12,33652,52106,83650,96790,96613,104680,111350,121987,139123,136179,155903,155824,164396,163978,162244,172394,184964,183114,183114,182834
13,1160,1258,1488,1409,1938,2799,4419,5948,6422,11165,10027,15513,19797,25258,25739,27278,26890,45906,45906,45818
14,3267,3564,4114,3981,16257,20103,26565,32922,35485,42931,42107,48021,56282,76803,76474,81817,80184,99501,99501,99844
15,1599,1915,2302,2506,10560,13809,19584,23723,26808,31398,31046,35605,42516,57437,57112,60928,62096,74226,74226,74447
16,48496,52872,53245,49865,91110,100109,109193,113325,117293,135034,133514,142091,163420,199461,198864,197419,194601,238512,238512,238090
17,1367,1355,2132,4797,2527,3632,6008,10513,16822,16536,24086,28866,26073,18077,23223,32610,48055,27093,34924,45914
18,3695,3643,11916,18572,23979,29581,40411,48654,54949,58437,73535,90697,82795,70629,80556,102262,127258,92055,112516,124573
19,2214,2564,7610,11716,15614,19343,26489,30826,35828,38399,47595,58707,55648,47911,55466,71027,86830,65568,79106,86798
