frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,4777,4777,4777,6384,9949,12543,15938,19116,22719,24607,26673,31042,33531,35916,38757,38757,41529,44652,47704,51198
1,23258,35862,35862,34733,33576,30280,26482,22959,19300,16548,11911,6757,5265,6150,1864,1864,1031,1034,909,827
2,305,305,4823,9506,12700,32046,31543,31115,31728,29774,29866,29478,26159,27263,23307,23307,22853,16909,18759,11407
3,433,433,1408,2013,3390,5218,7618,8295,9334,9296,9759,11085,10745,12418,12750,12750,14018,15008,15923,17590
4,29341,29341,29341,48869,57157,63287,70314,77817,87185,91721,94588,103314,108211,113338,111094,111094,112534,121430,127285,131520
5,394,487,512,498,460,479,497,527,523,505,622,638,644,676,693,706,717,716,743,740
6,436,507,634,437,520,510,574,607,616,605,647,700,909,883,938,931,1082,918,1059,1065
7,1328,2547,4051,3610,4257,5525,7087,7604,8383,8243,9095,10136,10684,12080,13461,14662,14441,15671,16969,16901
8,22679,76311,100386,83569,90688,100510,107057,101737,103587,100251,104096,99776,102059,103720,103452,109393,109542,109311,111650,109768
9,307,333,403,388,386,432,459,597,644,590,656,771,786,927,983,1038,1019,1063,1050,1005
10,616,581,678,639,648,701,771,942,1035,1241,1301,1431,1401,1677,1798,1874,2057,2038,2344,2123
11,2408,3088,3826,4087,4591,4783,5692,8224,10881,15511,17239,20602,22085,25798,28340,30950,34825,36089,41382,38318
12,50749,57417,61354,41745,44066,44890,49646,58601,66299,79851,83160,86165,90411,95754,102192,100247,124221,130197,142225,128380
13,269,437,450,647,779,851,960,1003,1077,1052,1218,1252,1436,1418,1666,1812,1641,1748,1695,1885
14,376,519,530,697,825,968,1111,1106,1179,1148,1327,1413,1676,1567,1739,2436,1526,1629,1514,2705
15,1911,3875,3967,7724,12323,16168,21714,23310,26990,26168,31195,36946,41447,44126,45989,53280,45302,48105,48719,62958
16,37943,38116,36441,54984,69746,75683,80773,82986,83841,76812,98837,106048,125304,121819,134411,146862,123558,137328,115946,157334
17,345,506,536,598,660,725,749,865,916,1031,990,973,971,1017,1072,1105,1215,1208,1736,1235
18,378,598,620,897,934,1271,1346,1764,2218,2401,2392,2339,2587,2558,2661,2760,3174,2903,6875,3018
19,2540,4223,4298,7658,8345,11611,15259,24925,36741,42233,41425,43464,45483,48663,51502,54002,66757,58735,95062,64676
20,21732,28494,28723,36157,36332,45610,51147,62824,96681,107813,95757,103254,95049,105344,103225,111163,134185,129421,225219,121197
21,416,473,504,805,943,979,975,1113,884,970,1113,1175,1866,1865,1939,1928,1834,2096,946,2801
22,494,559,586,1042,1249,1358,1586,1691,1223,1244,1792,1834,2462,2146,3917,3288,2169,2771,1626,6854
23,4335,4602,5059,20111,29402,34129,40863,46465,27269,29490,52843,55273,69781,69633,87916,87593,73193,86391,45420,119968
24,13959,29445,31804,99584,96428,117708,128998,154857,104225,109248,177929,175555,213078,210834,268259,262972,228960,260953,115753,370453
25,440,550,714,608,626,661,663,677,879,939,687,759,659,744,684,667,882,815,1619,677
26,473,598,890,675,690,712,733,749,1288,1371,757,913,746,884,739,737,1292,1083,2885,753
27,4382,5147,11589,6127,7114,7081,7623,7680,24590,26169,8456,12749,8480,11731,8384,8377,24691,16705,81726,8483
28,12272,41925,77238,50334,58648,53989,55640,49965,106925,104815,49690,62034,49840,57163,50695,51152,82293,70169,231506,52485
29,330,398,459,413,566,671,848,1034,674,835,1080,1251,1110,1215,1176,1163,1960,1802,915,1307
30,461,553,660,606,891,1559,1615,1671,1324,1810,1767,2137,1867,2227,2107,2149,2796,2540,2010,2267
31,4625,5513,5965,6495,12081,26732,28378,30413,20986,33682,32955,41971,35777,42068,38440,38675,57704,51605,39243,41491
32,21951,41838,51352,49897,72306,99124,103306,101236,87180,108781,111680,132629,124531,130712,120113,120901,158345,144904,113410,124367
33,242,261,326,371,385,379,419,504,589,573,601,599,619,648,788,825,801,924,1370,1084
34,410,498,565,659,659,657,724,850,1238,1040,1278,1116,1384,1361,1467,1521,1593,1640,2566,1627
35,3864,5062,6470,9581,8971,7539,10301,14947,33748,24662,36800,28500,40232,42932,44921,47029,55125,52737,75826,59204
36,17796,34188,47524,49767,41283,36385,43945,54288,87389,68340,95646,74372,99579,97626,108060,116936,119800,123585,178823,143251
37,386,471,532,636,855,1007,1054,1059,981,1436,1174,1413,1301,1351,1357,1383,1553,1493,1212,1428
38,485,586,651,987,1555,1851,2134,2314,2101,2996,2656,3606,2708,3029,2967,3098,3981,3782,3111,3397
39,4159,4447,5637,10427,20906,28631,36372,42567,43347,51951,47687,63247,52942,60828,60481,64368,82933,83675,68129,76172
40,20201,34559,40610,52718,82502,90385,100295,109823,113123,132554,128980,158617,140607,153915,153296,168269,183028,185827,148348,179339
41,384,515,534,657,606,694,705,708,877,898,1028,834,1054,984,1154,1050,1097,1246,1848,1489
42,436,575,578,787,646,757,801,867,1031,1032,1331,1034,1359,1677,1910,1789,1790,2050,2417,2125
43,3488,4389,5259,9826,6305,8298,10599,11335,18327,15902,27269,16959,29806,42688,54155,47897,47306,64852,75481,68678
44,16502,29401,32566,45023,31621,35625,41280,44435,56465,52658,71612,54614,70838,99841,123110,109000,105406,135595,157658,147484
45,492,544,702,766,943,1085,1106,1086,1227,1594,1319,1551,1468,1359,1249,1421,1656,1346,1349,1415
46,580,645,1018,1172,1688,1911,2011,2175,2511,2550,2932,2461,2967,2848,2436,3277,4660,2644,3011,3360
47,3759,3986,9597,12573,24886,29233,35215,38160,47042,44084,59894,46309,59925,68361,62744,81457,89365,73181,80252,88735
48,15685,27617,56977,72920,93578,100673,121803,126770,143124,140650,191164,134490,186710,198900,163948,217804,217125,184815,210641,208825
49,343,428,493,489,521,525,538,554,567,730,595,964,705,679,1075,783,875,1159,1046,1173
50,513,642,689,698,732,728,762,838,822,1116,860,1970,1139,1251,2012,1415,1760,4640,3068,4035
51,3582,3784,5108,5175,5583,5647,6140,6857,6680,11459,6823,34990,12270,14528,37895,18353,28098,68218,53748,68305
52,18433,40294,42582,43935,45256,43646,45628,48191,46467,59826,47541,122764,63561,66128,117832,74622,90490,205893,164296,204766
53,374,492,586,804,920,1085,1243,1453,1549,1748,1685,1247,1990,1969,1859,2163,2446,1164,1847,1505
54,464,562,643,835,1123,1262,1243,1355,1299,1611,1481,1448,1662,1662,1675,1765,2157,1390,1860,1776
55,3362,3582,5568,10316,18678,22627,24283,27010,26662,34547,29428,42010,38594,41931,51144,46493,56011,40627,63796,62413
56,25479,40027,55237,72690,96026,99936,95758,101505,98597,126951,118183,132672,131392,140820,163246,152640,182867,113121,185777,177077
57,399,514,578,609,605,615,727,780,875,863,961,972,996,1013,1018,1075,1022,1703,1301,1275
58,510,615,732,764,795,818,1160,1335,1758,1590,1753,2159,2506,2811,2095,2945,2532,4175,3263,3418
59,2788,3504,4867,4673,5261,5224,9834,12732,21364,14884,21180,35260,42123,44917,32422,50925,39022,78465,64637,69059
60,29335,39144,45117,36086,36044,35058,51204,55929,73396,56524,73892,93407,114591,124593,89904,137248,93755,193142,161081,158692
61,358,505,595,884,1061,1094,1180,1276,1234,1393,1383,1319,1401,1220,1797,1393,2303,1107,1681,1989
62,411,557,655,1142,1538,1472,1655,1875,1832,2190,2632,1963,2035,2033,3111,2254,3397,1922,2526,2640
63,2470,3239,4902,14796,22197,22614,31145,37263,38799,41479,49176,48295,46839,49785,66119,58449,71491,45044,67081,72540
64,28864,34438,44671,69188,80403,79336,102284,109066,114153,123160,149379,125047,120409,132157,176593,143440,173198,105570,156201,177300
65,383,449,555,585,600,761,683,759,811,885,808,1189,1347,1316,982,1390,1265,2090,1703,1535
66,314,342,407,407,450,583,549,529,560,588,563,699,1229,1197,695,1213,1213,3703,1522,1530
67,2420,3156,4698,4694,5158,8732,7511,10064,12811,13584,11617,38269,46896,46001,30203,51498,51085,85700,68649,66852
68,23360,25822,33256,28352,29706,40304,36073,40699,42428,44769,41458,89021,100635,95864,69081,103253,99509,171624,129779,122474
69,417,461,703,797,1073,1208,1569,1774,1786,1938,1756,1791,1812,2138,2974,2521,3078,1392,2434,3105
70,668,781,1219,1846,2154,2417,2299,2685,3027,2983,2808,3992,3665,5796,4294,7814,6636,3514,5080,9137
71,3245,3527,9086,21180,25117,32602,32037,38046,40349,42820,39918,63278,62266,79358,68297,97977,96445,68935,96425,122015
72,16313,26341,57022,60303,76707,86111,93084,98095,105337,112482,97577,145491,140764,228163,158338,221387,220130,137278,207959,251920
73,422,533,574,596,589,773,892,912,1026,1118,1359,1048,1284,644,1341,873,933,1987,1324,950
74,510,670,743,687,661,856,872,1021,1127,1302,1454,1256,1363,700,1484,898,1118,2601,1434,1160
75,3224,3569,4659,5849,5851,7532,10855,14993,21606,27881,42957,28247,35178,5886,44260,11746,21329,83451,42062,21151
76,16456,26853,28489,44007,40563,50399,56282,66766,80451,98944,145786,90423,105956,39750,122557,53629,65120,208208,104018,68927
77,463,554,817,740,896,1036,1109,1184,1133,1156,823,1494,1396,1553,1449,1618,1985,1090,2352,2111
78,579,748,1716,1288,1776,1932,2121,2284,2587,2615,1475,3028,2787,2337,3063,2794,3423,2510,3987,3571
79,3268,3504,16070,11683,21027,26436,32217,38418,42325,43504,15236,53481,51854,32562,60698,45916,54672,44638,79318,57012
80,17670,41844,66115,84512,103109,111488,130632,135702,153360,147746,71228,175490,166190,113473,175460,141395,170377,119299,229535,180285
81,459,559,610,573,611,656,672,671,623,782,1265,733,923,1177,982,1171,1078,2038,1005,1232
82,677,807,803,618,650,692,702,721,671,918,1983,858,1226,1761,1645,1841,1931,2637,1614,2057
83,3432,3877,5231,5170,5623,5683,6331,6348,6229,9698,47537,10644,22595,43198,39756,51879,58399,82740,39998,62927
84,23788,46460,49907,45486,45415,43854,45667,45273,43116,55385,152697,55559,81460,143979,121687,153937,182440,233489,113030,175959
85,451,524,535,605,764,1081,1248,1079,1354,1431,770,1773,1668,1179,1680,1454,1305,943,2122,1575
86,662,753,735,722,1379,1533,1479,1534,1323,1621,1038,1758,2068,1800,2155,1900,1675,1456,2604,2188
87,3553,4451,5352,9159,22841,27506,29315,29788,29873,37279,14271,41075,57180,51275,62586,57874,45269,28577,81868,72877
88,24055,43885,51332,62634,91486,102443,98611,97414,97549,120417,62766,126698,157959,146453,181356,161283,114907,86439,199609,190380
89,416,509,499,505,550,536,664,750,939,822,1111,998,895,1106,964,1139,2038,2445,1110,1247
90,31863,45989,65204,74050,83990,88673,105889,121553,143695,135312,172548,160834,154731,179118,160834,186233,238361,238361,186233,207079
91,2264,2992,3301,3312,3612,3696,4060,4462,4495,5748,5676,8462,8487,10660,12187,15939,9954,11695,27989,26123
92,6310,7304,7834,7711,8441,8422,9389,9944,9688,12717,12558,18845,18952,24163,28266,39465,21795,25871,69990,66403
93,501,557,544,555,592,582,685,663,712,797,828,970,957,1086,1126,1385,1013,1168,2130,1998
94,82453,75443,59190,40273,40687,43128,44369,46377,44877,50654,48926,64818,66429,71221,84222,88957,63687,71176,142801,132041
95,1084,3674,4035,4004,5095,9910,20350,12726,29843,35176,33652,42831,46268,52958,45485,53373,49177,54248,53126,61048
96,3308,8286,8875,8948,11430,24630,43918,38208,45337,52813,50533,68041,67602,74696,83458,90308,69784,77028,105732,121721
97,414,629,672,741,784,911,1109,1062,1180,1546,1405,1643,1621,1968,1970,2301,1705,1869,3615,4261
98,20172,37301,44050,47848,63317,97027,121471,106392,103109,114887,99940,140819,141642,144888,160154,164781,121364,142047,181841,206151
99,3255,3923,3908,7131,7695,4908,5314,9343,13736,14828,23832,15878,18161,23290,23053,27303,47590,43994,37963,31476
100,6347,9389,8998,16030,17406,10611,11640,20245,29900,32594,52381,34873,39949,50426,49413,58546,85991,80379,71507,66449
101,468,644,648,779,873,744,769,906,1121,1228,1210,1171,1172,1275,1248,1471,2872,2823,2519,2380
102,26751,35068,32948,120909,116150,71218,65652,94411,110327,115032,168672,107907,121948,128818,124578,148687,231367,198598,164674,145654
103,3625,4453,4581,5374,5335,9228,14712,11814,12829,15197,7555,28540,28298,30188,37963,34975,12887,25548,47462,59430
104,6099,9616,9623,11147,11122,19103,31203,24256,26590,30927,15321,56894,56388,60142,71210,66553,25857,50340,80473,105816
105,591,615,591,601,612,873,1087,959,997,1016,795,1349,1478,1565,2075,1741,1001,1352,2762,4166
106,49648,77840,77252,63157,62668,94909,111191,99758,101752,105903,68024,150874,148597,154983,175357,160133,84102,117774,185584,248021
107,1273,4632,4626,4904,5004,5982,6406,10743,13154,16806,29217,13278,18269,21201,19454,28972,53157,54248,33158,19714
108,4157,8538,8554,9107,9150,10856,11681,20331,25736,33652,46510,25691,35955,41287,38067,56305,68445,88830,66088,38092
109,474,549,544,526,589,685,739,999,1103,1286,1532,970,1349,1377,1257,1938,2573,3891,2523,1284
110,33706,64883,65222,38993,44924,49301,50348,69184,76988,80667,97464,65646,84009,87431,81204,112900,139135,184678,117937,75640
111,2249,4155,4132,4273,10388,14178,18079,17719,20531,26755,24818,41563,44028,48900,52243,47987,39214,28143,64965,58223
112,5265,8176,8205,8213,21331,29607,38334,36132,41396,54124,48595,61254,75950,79309,74733,82339,68104,54450,104528,74600
113,550,643,618,619,1082,1243,1376,1461,1541,1859,1597,2245,2715,2966,2763,3172,2419,2007,4488,2715
114,27324,38306,38450,34386,65718,75215,83988,75684,84344,105984,92541,114531,152186,149351,133271,159306,116898,83995,179776,129644
115,3347,4603,4620,7228,8981,10416,12670,21429,23466,19656,32343,27298,18712,25811,41408,32113,58676,81653,44159,66552
