frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,4750,15847,26238,35437,43955,50446,61300,69562,73599,82101,86922,96798,101342,105613,111509,124627,130408,134073,142779,148703
1,292,298,390,464,498,528,529,528,541,560,554,567,572,573,573,600,600,601,641,646
2,6228,1400,2272,3121,3405,3678,3914,4210,4591,4950,5067,5547,5563,5922,5846,6508,6540,6400,7188,7111
3,2083,2153,4063,5249,5547,6130,5908,5852,6488,7137,7020,7183,7095,7821,7757,7618,7742,7773,8469,8368
4,29284,40580,83076,93893,91976,94296,86802,80518,84283,82581,79982,74125,71912,70132,68499,63870,62521,61447,64318,61486
5,1348,1662,3585,2116,2439,2639,2596,2786,3004,3278,3227,3132,3253,3549,3446,3455,3509,3460,3550,3494
6,4067,4905,8484,6208,7133,7688,7710,8554,9208,10062,9988,10053,9985,11081,11238,10812,11162,11225,11084,11052
7,464,553,643,654,744,697,760,726,741,792,788,803,764,878,796,845,913,813,843,904
8,71218,72462,75840,56778,69619,71236,68222,72031,73906,77873,77220,77229,76828,76645,74924,72589,71935,71254,70296,68858
9,3314,5934,12280,5910,7678,8528,8376,9068,9950,10759,10806,11857,11954,12015,11935,11824,11842,11967,13255,13339
10,5564,9953,19739,9957,13059,14569,14550,15753,17208,18737,18718,20637,20854,20879,20574,20352,20414,20387,22621,22482
11,3459,6884,13441,6668,9133,10328,10163,11111,12380,13439,13199,14676,14836,14340,14451,14908,14942,14783,16152,16335
12,37231,72443,51827,67315,74488,73828,74635,78755,80671,80206,79542,84828,85437,84939,84942,84160,84399,83890,88533,89201
13,428,670,995,817,961,1023,988,1016,1034,1069,1091,1133,1137,1214,1200,1197,1204,1167,1191,1232
14,4035,7590,21682,12468,16267,18635,19190,20249,22140,24126,24244,27194,27384,30384,30636,30510,30929,30026,30519,34362
15,7435,14257,31444,21705,27563,30194,30177,32529,34724,37110,37437,41277,40554,45045,44810,44773,44841,44577,44654,48683
16,22626,47317,33623,52846,66127,72509,72158,75794,73566,78901,79806,83347,84294,84933,84269,84893,84320,85160,80993,97677
17,3046,7637,16728,12773,18759,20152,22346,24819,27628,30535,30528,33687,33127,36329,36481,35461,36813,36629,35944,38367
18,8872,20219,34247,36137,50604,54681,59209,62283,66272,68422,69326,71659,72233,76694,76728,76311,77162,77312,76668,79050
19,518,759,866,1165,1331,1644,1962,2015,2220,2500,2597,2691,2531,2807,2779,2777,2760,2856,2955,2962
20,39226,58203,70565,79787,88728,99137,109852,116068,117717,124855,125608,122567,124480,137814,150421,150494,149773,151270,151367,146929
21,5970,13983,22549,29033,39864,46805,52694,55513,58757,61733,65534,65310,65810,69760,73106,73804,74160,73374,74248,82713
22,5629,12737,22637,29556,37059,48729,56636,67356,76796,90238,97077,98998,99212,106121,116330,116582,116704,117315,116100,129150
23,4188,10163,16827,25235,31825,36768,45396,52964,60542,71496,84681,85077,84215,91979,102014,102614,102478,101561,102031,111550
24,12422,24462,59983,73314,86015,97745,107884,134203,160675,171205,182216,221765,240710,238796,265895,292377,293317,338697,340659,402652
25,566,736,904,917,995,1120,1217,1285,1358,1414,1459,1468,1614,1745,1777,1944,2132,2059,2079,2214
26,5826,12540,18277,24235,30780,39754,47251,52379,60044,70484,78694,91764,98681,96902,111091,125836,127592,125144,125804,143024
27,9994,20353,29087,36438,44723,54459,64063,69999,77650,92740,99268,116736,127086,128471,142190,159015,159905,157690,159409,178435
28,24656,52542,79162,66433,76030,92378,107404,133171,149952,160962,179218,189974,205743,202879,224544,218410,254179,247162,307287,297445
29,2747,6787,11520,15017,22072,28531,35108,42841,52380,58189,67012,71907,85020,92922,104290,116311,115200,129749,129240,146699
30,7724,19942,27357,41696,51932,59218,68355,75328,83997,91836,97469,111965,121956,130679,132062,143253,159734,158864,160636,180507
31,671,873,928,1046,1173,1284,1540,1868,2225,2554,3014,3488,3511,3810,4614,3992,4534,6437,6051,6591
32,57662,75791,74861,86959,93760,115750,121678,135846,161177,172652,171809,190923,212677,241673,245369,242354,287495,285440,288010,341683
33,3161,7717,15951,24156,33402,39487,49311,61674,68963,81177,87376,95769,103476,114552,126500,143801,144036,141683,164606,164892
34,5172,9809,17570,27139,34092,40268,50716,58896,69681,76116,88813,96468,104635,114586,126466,127166,144236,142382,164617,164578
35,3086,6710,12805,21746,27096,33310,41358,49013,59538,66120,75580,82541,91668,103192,102224,112404,130508,130552,147840,148657
36,16481,30543,36400,48123,60495,64556,78272,92210,108140,114005,135473,133317,143654,155636,177993,175688,196571,192872,196512,229324
37,529,688,899,1064,1176,1370,1328,1539,1678,1674,2219,2389,2460,2749,2635,3192,3011,3778,3893,3471
38,4464,9332,17985,25981,34698,39681,47275,57008,67943,73991,87452,86757,96517,107357,124588,123474,142415,140641,141094,169838
39,9190,18428,31043,40713,50679,56602,67088,80071,92753,99949,116124,116241,126492,139187,156497,157099,178878,178574,177981,209981
40,12853,22415,30564,43509,54731,68993,81976,106016,109316,118194,124839,155707,151947,168397,167073,188821,184134,215797,218479,214563
41,2973,6521,10984,19960,26445,32218,38762,42635,48859,57608,68367,74201,80619,87925,98545,96776,110438,111187,127549,126889
42,9566,18342,28761,40576,45953,54205,64276,70366,82303,93397,98221,108468,116069,127726,128758,145161,143947,163251,161214,188942
43,709,1019,1155,1350,1828,1978,2459,2913,3238,3534,4408,4767,4803,5192,6271,5301,6769,7818,7713,5972
44,42833,58037,66436,80944,86555,93343,115039,133029,144598,138156,154002,171565,196205,192604,229318,224013,229356,280166,277666,265699
45,4012,9400,14245,28513,41096,43773,54648,61475,72765,93928,102497,111720,122835,140425,138045,157292,156286,155499,182439,215827
46,4760,10193,18049,30091,43182,45974,53046,63209,73661,87657,94544,102380,111249,124802,122489,139821,159410,156945,157915,183090
47,2771,6823,12513,19668,33007,32481,42633,51064,53912,65074,71095,76628,84117,91404,105488,121798,120791,140907,138899,136377
48,15506,26698,47967,62937,71762,83566,102302,113293,127658,138404,151070,162583,174039,200585,197496,194722,220575,212129,248743,251727
49,562,693,870,1166,1380,1329,1691,1900,2231,2612,2872,2850,3096,4010,3927,4844,4397,5184,4522,6253
50,4066,10017,12925,30070,35946,39861,51055,61205,71224,76620,85250,94603,103615,116735,116211,115418,134782,133919,160792,159341
51,8658,19655,23254,43148,49335,54845,67928,80707,93069,99619,110166,121347,133210,150630,150207,150774,169041,170462,197087,197857
52,13276,25174,47377,54237,65315,79930,89460,105947,110314,129961,142216,154423,149968,167360,188046,189861,214932,216413,209541,255072
53,2443,5919,8317,15925,26393,28840,35005,40468,45624,55206,63747,69021,79000,87884,98134,98832,112331,112473,126214,125917
54,8808,19842,27903,41776,43637,55600,65310,72592,84572,91958,97376,106130,117223,116466,127241,144464,143166,164662,162700,159680
55,407,530,649,618,792,1167,1330,1647,1947,2015,2357,2477,2909,3164,2801,3071,4358,3835,5105,4933
56,63496,77221,83148,94099,102948,118796,146735,158099,173003,167479,188244,205540,205162,235525,234695,289346,281709,282391,323318,322227
57,2908,6725,12434,24993,39232,55507,51540,58048,66569,79164,91471,97711,108107,116614,129117,127597,145377,144057,164792,162278
58,4428,9700,15566,23064,35950,52663,48802,58516,66924,78782,83543,97154,106772,116384,115843,126913,126216,143699,163389,162063
59,2934,6641,11068,16813,24101,41592,38596,47376,53637,65810,71188,75502,81736,89660,98951,110868,110309,126202,124902,140028
60,20092,39965,49539,60526,69510,89289,91802,100686,119573,127774,135347,145617,160133,174314,172371,192665,213104,212906,211191,243148
61,502,684,848,1050,1053,1346,1276,1625,1721,1850,2292,2300,2329,2450,2693,3085,3512,3294,4339,3798
62,3499,6768,14507,25854,34015,47197,46810,58643,70008,76548,82184,90228,99359,110254,108882,127405,144607,144470,144771,168511
63,7978,16230,29735,44413,56603,72956,71510,86405,102058,108333,117211,127208,138060,151819,149245,172523,194917,194513,194022,231420
64,14025,25011,30916,38689,46712,67717,71538,85177,94560,100841,116242,123786,136010,144166,160732,164029,161858,183151,185015,182381
65,2376,5721,12208,18513,24111,40995,40073,44760,50954,58645,70802,75278,82402,93478,101587,116047,116140,131283,130424,129814
