frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
1,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
2,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
4,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
5,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
6,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
7,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
8,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
9,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
10,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
11,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
12,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
13,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
14,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
15,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
16,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
17,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
18,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
19,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
20,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
21,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
22,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
23,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
24,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
25,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
26,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
27,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
28,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
29,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
30,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
31,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
32,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
33,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
34,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
35,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
36,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
37,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
38,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
39,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
40,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
