frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,14816,19367,26624,28881,33063,35828,40615,49133,53236,59427,59507,65772,74120,74120,82450,99276,97823,113719,114994,132555
1,10177,18006,26068,32759,40388,51535,52786,62670,72710,80489,82468,89686,100747,105225,109932,120478,124671,127624,135326,144693
2,10243,15748,25128,31706,42139,48628,54517,63252,69309,81214,86901,94857,107905,107862,127011,127413,128736,148481,170583,171564
3,10134,14462,24053,30775,39137,46294,51979,61435,67052,74085,82491,89724,89251,102771,102771,115079,117364,117364,127195,127411
4,10208,13076,23720,30322,38963,46646,52288,62256,69244,77613,85966,96421,111628,112556,130859,152994,154333,154333,181008,182067
5,10238,13440,22909,29770,38400,45636,50343,60237,66457,74014,74014,81739,89310,89310,99280,98834,100588,112230,111098,112230
6,10225,13803,22663,29497,37888,45454,50973,61144,67367,75178,83173,91520,102222,103547,118535,118280,136893,137817,159296,159551
7,10241,13961,22573,28733,37086,44915,50245,54267,66668,74121,82034,89781,99909,101413,99909,112931,113642,126982,125603,126982
8,10325,14958,19995,28887,37140,45174,51159,61243,68212,76370,85556,94779,108207,109701,127109,127018,148983,149127,178386,178909
9,10152,13199,19846,28155,35458,43471,49561,53149,65418,72309,72300,80414,87155,87218,96965,97095,97053,108939,108460,120980
10,10093,13577,19610,27960,35152,42917,49790,59174,65359,72833,80805,88125,98562,99589,113964,131158,131669,152699,152407,152699
11,9995,13583,21868,27606,34362,41871,48306,57364,63190,70434,78245,85274,94599,95136,106411,106543,107008,118638,118385,134872
12,9992,14780,21897,27706,34807,42171,49119,58402,64526,72753,81259,89784,101792,102905,118537,138313,138719,166177,165675,166177
13,9925,14294,21546,27177,33920,41013,47556,55824,61739,68980,76538,82927,82765,92378,91932,102885,103196,102885,114376,114376
14,9895,14365,21318,27263,34029,41071,51827,56376,69681,77016,77114,94314,94385,110159,126852,126852,127329,147763,147763,147763
15,9803,13788,21125,26851,33649,40211,50229,54840,67191,74704,75089,90334,90334,90777,101207,101207,113357,113175,113175,129115
16,9770,13865,21231,29798,38394,45816,51462,56104,69873,78476,87257,100142,100142,117510,117383,138245,166230,165873,165873,166230
17,9589,13725,20940,28714,32758,39755,49405,54104,58983,66151,73395,79658,88376,88523,88376,99364,88376,99364,110406,110834
18,9753,14054,20984,28504,37243,40155,49690,54829,67654,75141,81891,81821,107519,107616,124708,124708,145885,145885,145885,145885
19,9710,13730,20924,28108,36706,39752,49218,54425,66676,73901,80241,89371,89371,89478,100066,100066,100066,111933,111933,127452
20,9859,14041,21367,28841,33603,46080,50745,56402,69647,77824,86243,99159,116227,116227,136573,136573,164696,164696,164696,164696
21,9764,13841,20976,27954,32647,39671,49142,54015,59152,66316,73242,79487,79487,88423,88423,99042,99042,99042,110533,110426
22,9782,13869,21189,27945,33075,40133,49566,54424,66766,74363,80892,91191,103920,103920,117051,117051,133839,133839,133839,133954
23,9900,13998,21119,28215,37367,44841,49642,54692,67057,74424,80976,80976,89881,100776,100776,112872,112872,129152,129152,129493
24,9809,13989,21230,28217,37608,45389,50358,56088,69073,77260,85938,85938,97408,113811,113811,132357,159517,159517,159517,160028
25,9884,13900,20959,27702,32858,39629,48475,54558,58981,66105,73404,79370,87789,87789,98334,98334,98334,109399,109399,124541
26,9922,14146,21270,28129,33405,40525,49555,55453,67658,74983,81730,91950,105180,105180,118532,118532,135198,135198,135198,135829
27,9951,14110,21211,28127,33339,40410,49284,55146,67046,74416,80735,80735,89669,89669,100386,112561,112561,128106,128106,129324
28,10113,14059,21672,28713,34494,41653,50475,57231,70571,79053,87593,87593,99469,116044,116044,134669,161160,161160,161160,162951
29,10073,14165,21774,26147,34323,41441,49349,56338,61240,68632,75932,82324,82324,91213,91213,102196,102196,113672,113672,129347
30,10167,13772,21680,26460,34436,41295,49783,56366,61827,68959,76779,83786,93841,107593,107593,120910,120910,138342,138342,139222
31,10081,13967,21539,26725,34408,41321,49591,56198,61479,68848,76258,82900,91936,91936,103052,115037,115037,131194,131194,132353
32,10067,13759,22036,27386,35323,42736,51588,58646,64472,72882,81080,89926,101579,118590,118590,137977,137977,165293,165293,166274
33,10058,14055,21646,27136,34523,41567,45920,56450,61655,69178,76617,83140,83140,91990,91990,103519,103519,103519,114804,115026
34,10078,13687,21767,27378,34775,42060,46534,57327,62602,70170,77865,85005,95377,109284,109284,123177,123177,140203,160904,141815
35,9964,13986,21677,27500,34627,41605,46256,56128,62209,69916,77951,84555,93687,93687,105160,117103,117103,117103,133056,134017
36,10138,14058,19535,27783,35405,42710,47895,58143,64668,72968,81736,90486,102790,102790,119734,139254,139254,166983,166983,167908
37,10019,13857,21705,27266,34271,41309,46598,55440,61861,69306,77077,83467,83467,92941,92941,104063,104063,104063,115979,116625
38,10085,13859,19129,27501,34427,41551,46918,55943,62162,70011,77823,84846,95198,109259,109259,123510,123510,140382,161692,142008
39,9870,13795,21470,27330,34409,41334,46896,55430,61896,69177,76689,83200,92569,92569,104185,104185,116139,116139,132907,134290
40,10019,13865,21711,27708,34884,41862,48061,56899,63686,71699,80045,88959,100831,117848,117848,136832,136832,164659,164659,165441
41,9902,13676,21192,26911,33962,40513,46317,54477,60602,67869,75347,81677,81677,90644,101500,101500,101500,101500,113122,114028
42,9864,14072,18868,29746,38198,40992,50830,54927,68541,76093,76093,82823,93646,107566,107566,121490,121490,138226,138226,139620
43,9830,13941,21192,29242,33469,40810,50216,54406,60547,75834,75834,82298,91699,91699,103056,114955,114955,114955,130777,132074
44,9904,13596,21232,29038,33828,41429,50855,55818,70276,78557,78557,87375,99216,116050,116050,135050,135050,162087,162087,163701
45,9847,13808,21073,28511,33709,40582,49175,54072,60187,67226,74671,81298,81298,89872,100788,100788,100788,100788,112457,113447
46,9963,14100,21419,28601,38203,45629,50114,55295,68563,76231,76231,83173,93674,107355,107355,121205,121205,138269,138269,139757
47,9879,13975,21195,28152,33390,45189,49453,54775,60978,76046,76046,82954,92512,92512,103590,103590,115755,115755,131928,133384
48,9987,13881,19070,28445,34262,41729,50407,56809,62917,79237,79237,87999,100368,116845,116845,135940,135940,163151,163151,164625
49,9973,14152,21366,27994,33632,40639,48784,54570,60328,68003,75046,81640,81640,90394,101318,101318,101318,101318,112724,113345
50,10080,13958,21553,28295,34032,40979,49200,55549,68715,76282,76282,83356,93860,107950,107950,122049,122049,138806,138806,141585
51,10140,13908,21514,27946,34361,40698,48945,54968,60642,75292,75292,82087,91433,91433,102345,102345,114328,114328,130069,131946
52,10233,14152,19462,28660,35450,42060,50599,57241,71560,80156,80156,88772,100852,117362,117362,137076,137076,164353,164353,165710
53,10248,13832,21724,26115,34762,41260,45788,55371,61230,68899,76198,83020,83020,91985,102747,102747,102747,102747,114793,115681
54,10254,14029,21913,26416,34896,41351,46110,55717,61734,69456,77129,83995,94485,108069,108069,122402,122402,139445,139445,141018
55,10282,13874,19377,26726,34653,41219,45949,55269,61571,69259,76819,83237,92515,92515,103656,103656,115407,115407,131830,132974
56,10351,13946,22220,27484,35455,42457,48163,57489,64117,72299,80924,89203,101296,118130,118130,137312,137312,164421,164421,165534
57,10394,14009,19718,27415,34832,41524,47216,55488,61568,69063,76572,82863,82863,91858,102719,102719,102719,102719,114577,115801
58,10460,14105,22530,27843,35268,42339,47691,56446,63018,70621,78132,84995,95519,109191,109191,122837,122837,140422,140422,141617
59,10528,14170,19955,27688,35001,42120,47643,56237,62372,70128,78174,84396,93856,93856,105152,105152,117571,117571,134295,135679
60,10584,12782,20086,27972,35679,43114,48947,58171,64593,72756,81457,90131,101976,101976,118854,118854,137982,165494,165494,166329
61,10560,13267,19846,27598,34916,41998,47575,55929,62080,69492,76972,83176,83176,92283,92283,103010,103010,103010,114217,115122
62,10611,13757,22317,27577,34899,42213,48469,56437,62890,70444,77782,84908,95606,109777,109777,124334,124334,141005,141005,142107
63,10560,13717,22084,27617,34646,42001,48010,55947,61941,69475,76888,83523,92486,92486,103345,103345,115160,115160,131399,133323
64,10440,13983,19904,27755,35203,42631,49111,57342,63947,71900,80514,89381,101256,117981,117981,136959,136959,164090,164090,164846
65,10323,14899,19498,27381,34253,41450,47463,55324,61087,68625,76143,82606,82606,91462,101991,101991,101991,101991,113750,115408
66,10493,14355,22160,27601,34682,41828,48079,55718,62053,69572,76996,83906,94674,108721,108721,122514,122514,139897,139897,142124
67,10439,14132,19654,27732,34419,41439,48053,55270,61491,68866,76460,82691,91595,91595,102634,102634,114296,114296,129936,132313
68,10493,14010,22287,27878,34913,42309,48529,56799,63191,71086,79369,88034,99914,116453,116453,135796,135796,162771,162771,163942
69,10346,13838,19586,27397,34084,41116,47261,54971,60850,68111,75323,81367,81367,90217,101147,101147,101147,101147,113039,115833
70,10366,14039,22034,27660,34250,41031,51253,54837,68279,75767,75767,82562,92838,106396,106396,120310,120310,137088,137088,138923
71,10363,13728,19470,27447,34025,40718,50390,54322,67821,75292,75292,81176,90474,90474,101506,101506,113396,113396,129000,130933
72,10394,14083,21981,27871,34822,41774,51338,56144,70307,78726,78726,87247,98635,115484,115484,134375,134375,161399,161399,163386
73,10297,13741,21827,27342,34029,40662,49459,54173,60031,67445,74725,80549,80549,89302,99799,99799,99799,110930,110930,127810
74,10389,13928,19473,27427,34272,40931,49962,54537,68232,68232,75356,82028,92953,107146,120577,120577,137515,137515,137515,139182
75,10275,13855,21860,27413,34202,40551,49266,53795,66916,66916,74456,80673,89298,89298,99757,99757,111530,111530,127379,130303
76,10451,13915,19620,27724,35070,41665,50260,55782,70011,78343,78343,86773,115170,115170,133720,133720,160372,160372,160372,162385
77,10257,13863,21812,27572,34198,40531,48574,53939,59814,66878,74161,80218,80218,88874,88874,99410,99410,110744,110744,127145
78,10282,13980,19528,27702,34392,40776,48880,54399,67512,67512,74983,81688,92314,106686,120461,120461,137162,137162,137162,139094
79,10410,13994,22053,27770,34674,40848,48539,54208,60118,67503,74550,80965,89845,89845,100635,100635,112079,112079,127885,130474
80,10416,13909,19805,27870,35307,41404,49947,55637,69660,69660,77919,86323,97754,97754,114268,133269,160095,160095,160095,161619
81,10368,13779,21863,27488,34384,40546,48138,53278,59328,66014,73089,79220,79220,87836,87836,97942,97942,109357,109357,125459
82,10362,13925,19492,27629,34395,44699,48516,54139,59951,74155,80723,90980,104963,104963,118953,118953,135584,135584,135584,137985
83,10313,13963,21738,27593,34378,44551,48061,54457,59388,66385,79717,79717,88577,88577,99397,99397,110791,110791,126474,128530
84,10342,13737,21829,27825,34859,40639,48802,55395,68259,68259,84714,84714,96215,112268,130945,130945,157554,157554,157554,158646
85,10220,13754,19036,27187,33900,39482,46996,53452,58068,72018,72018,78039,85898,85898,85898,96176,96176,96176,106990,123004
86,10025,13552,21017,29067,37185,39056,46936,58639,64596,71640,78296,88528,88528,102759,116373,116373,132245,132245,132245,151795
87,9999,13625,20823,28584,36144,42466,46440,57198,63122,69868,75561,83845,83845,83845,93989,104796,104796,119134,119134,121887
88,10005,13992,20977,28703,36308,43435,48279,58492,65731,73264,81655,92654,108788,108788,126751,126751,152858,152858,152858,185966
89,9863,13664,20577,27568,35015,41431,46280,55287,55287,68415,68415,74164,81892,81892,81892,92047,92047,102186,102186,102186
90,9855,13681,20406,27548,34561,41135,50989,55037,61638,68314,74409,85074,99455,99455,112247,112247,127331,127331,145273,146151
91,9767,13724,20050,27052,34278,40690,50029,54003,60382,67024,72662,80726,80726,90477,100656,100656,100656,114959,114959,117589
92,9720,13781,20174,27370,34523,41333,50869,62458,62458,78026,78026,104074,104074,121740,121740,147545,147545,147545,180029,180029
93,9784,14922,20062,27197,33866,40231,48361,53321,59593,65909,71273,71273,78953,78953,88236,88236,88236,98547,98547,112628
94,9858,13422,19901,27348,34252,40811,48987,53906,66903,72641,82602,96269,96269,109092,109092,124121,124121,124121,124121,143359
95,9858,13667,20049,27448,34117,40499,48335,53508,66531,71828,71828,79577,79577,89024,99019,99019,113576,113576,113576,116913
96,9967,13841,20422,28027,35148,45571,50353,55625,69881,77831,88357,103039,103039,120876,120876,146328,146328,146328,179157,180307
97,10031,14032,20276,27808,34477,43432,48398,53706,59873,66181,71346,71346,79069,79069,88028,88028,88028,97794,97794,112675
98,10043,15153,20549,28046,34813,44086,48902,60851,67591,73543,83987,98757,98757,111811,111811,126782,126782,126782,144451,145036
99,9981,13267,20534,27892,34839,40585,48616,60306,60306,71997,71997,79649,79649,89043,98985,98985,112728,112728,112728,115494
100,10114,13862,20654,28280,35489,41732,50321,55794,62461,77390,87975,103274,103274,120715,120715,146292,146292,146292,178938,179852
101,10245,14076,20717,28139,35088,40923,48725,53982,60454,66921,72394,72394,79630,79630,89003,89003,89003,99150,99150,113474
102,10431,13950,20953,28592,35483,41675,49808,55107,61838,74321,74321,84106,98016,110703,110703,126008,126008,126008,144009,145139
103,10403,14064,21141,28641,35344,41842,45034,55346,61897,73729,73729,81776,81776,91110,101443,101443,114900,114900,114900,117497
104,10491,14158,21319,28610,35797,42489,46199,56878,63800,78775,78775,89399,104502,122525,122525,148183,148183,148183,180921,181524
105,10456,13862,21076,27717,35100,41450,45489,54503,60597,67156,72516,80451,80451,80451,89819,89819,89819,99631,99631,114566
106,10452,13804,21229,27981,35152,41904,51254,55525,61712,74374,74374,97763,97763,111028,111028,126037,126037,126037,126037,144703
107,10250,13725,20851,27588,34657,41259,50068,54508,60878,73122,73122,80841,80841,90636,90636,100509,115516,115516,115516,117723
108,10207,13990,21043,27949,35438,42203,51546,56665,63406,78818,78818,104715,104715,121885,121885,147803,147803,147803,147803,181162
109,10246,13854,20867,27674,31209,41163,44330,54595,60867,67234,72624,72624,80378,80378,89448,89448,89448,99180,99180,113614
110,10272,13793,20780,27633,35093,41379,50360,54876,61151,74131,74131,84159,98908,111955,111955,127222,127222,127222,145134,146444
111,10223,13869,20651,27389,34549,40634,49129,53524,59968,66008,71125,78761,78761,88061,88061,97935,97935,111814,111814,113031
112,10312,14054,20775,27788,35209,41759,50597,55652,62131,77400,87647,103081,103081,120407,120407,145590,145590,145590,177928,179978
113,10106,13632,20555,27369,34321,40603,48495,53651,59778,66215,71417,71417,78928,78928,87843,87843,87843,97515,97515,110917
114,10201,13818,20436,27335,34304,40678,48458,59983,66419,66419,82540,96236,96236,108504,108504,123663,123663,123663,140999,143777
115,10218,14175,20512,27764,34629,41078,48495,59646,66077,66077,71608,79333,79333,88579,98219,98219,111490,111490,111490,113058
116,10423,15190,20950,28394,35557,42650,50695,62835,70159,78114,88878,103965,103965,122068,122068,147893,147893,147893,181008,183414
117,10301,13396,20855,27911,35111,41582,44577,54277,60495,66808,72489,72489,80266,80266,89575,89575,99858,99858,99858,114244
118,10485,13732,20999,28101,35271,42170,50271,55105,61640,68372,74365,84158,98036,111029,111029,125905,125905,125905,143845,146142
119,10531,13813,21307,28223,35301,41948,50130,55141,61594,68123,73818,81880,81880,91141,101368,101368,101368,115412,115412,120129
120,10616,14016,21469,28425,36275,43306,51594,57372,64356,71845,79807,90888,106024,123578,123578,150120,150120,150120,183563,184808
121,10661,13893,21239,28102,31922,42108,45041,55298,61839,68296,73729,73729,81254,81254,90208,90208,90208,100136,100136,100136
122,10865,14183,21737,28694,36552,43290,46565,56903,63239,70186,76617,86747,101261,114610,114610,130369,130369,130369,148272,149353
123,10822,14102,21692,28384,36253,42810,46964,56206,62737,69374,74979,82795,82795,82795,92293,102141,102141,116577,116577,118393
124,10750,14035,21809,28538,32942,43553,48438,57969,64710,72464,80356,91014,106366,106366,124185,150154,150154,150154,150154,185226
125,10799,14141,21793,28270,32675,42827,47546,56345,62881,69360,75077,75077,82583,82583,91933,91933,91933,101816,101816,102293
126,10843,13926,21883,28044,36675,43006,48081,56914,63430,70196,76435,86760,101579,101579,114368,114368,129796,129796,147404,148875
127,10865,13952,21746,27944,36305,42791,47976,56473,62940,69802,75411,83217,83217,83217,92790,102902,102902,117268,117268,119154
128,10758,13851,21755,28033,32702,43352,48734,57658,64332,72014,79937,90581,105582,105582,123110,149386,149386,149386,149386,185030
