frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,27264,45385,54841,71584,84507,102736,113788,130480,146047,161648,177424,196763,199133,220725,242638,242496,274964,277058,309572,311929
1,21238,21238,33997,49489,56470,67409,81198,88429,99940,109962,123644,134626,153310,152380,168419,169737,188662,188662,210310,210310
2,21138,21138,32362,46775,59683,72193,80439,88186,100143,110298,123178,134868,152516,153093,168758,189910,189910,189910,212043,230017
3,21414,21414,32291,45620,58461,71273,80113,87853,99772,109682,122660,134019,150470,152117,167655,167655,188116,188116,209263,227319
4,21452,24634,31994,45839,57784,71964,80961,89094,101505,111419,124733,136611,153637,154685,171669,171669,192914,215379,215379,234946
5,21377,21377,31649,45504,52293,64428,71133,87510,99289,109310,121785,133399,149201,149952,166376,166376,186629,186629,207462,224860
6,21565,24737,31738,45648,52387,64518,80494,88082,100284,109986,122716,134571,150571,167894,167894,188758,188758,210093,210093,227459
7,21392,21392,31607,45232,51861,63995,79252,86871,98585,108460,120885,132431,148134,148134,165360,165360,185069,205543,205543,223295
8,21351,24594,31334,45161,51655,63844,79494,86924,98814,108639,121423,133057,149040,166361,166361,187088,187088,208419,208419,226596
9,21194,21194,30788,44215,50620,62312,76469,83577,94161,103395,114921,125688,140393,156131,156131,174311,174311,193050,193050,209366
10,20878,23790,34712,43746,49888,67326,75551,92754,92754,113282,123648,137831,137831,153284,171634,171634,190895,190895,206424,227962
11,20712,23603,34134,43228,54038,66027,73973,90785,90785,110280,120345,133983,148785,148785,166328,166328,183998,183998,198831,219654
12,20592,23506,29770,42693,53474,65287,73232,89931,98279,109474,119161,133273,148076,148076,165699,184027,184027,200008,222529,222529
13,20207,22990,33045,42121,52433,63970,71220,87723,95439,106069,115791,128769,142837,142837,159077,176200,176200,190174,210191,210191
14,19870,22917,32781,47164,51830,63242,77171,86895,95110,115142,128248,128248,142021,158649,176080,176080,190460,210402,210402,234561
15,19679,22603,32302,46731,51130,69665,76137,85456,93127,112572,125513,125513,139050,154881,171279,171279,185207,204378,204378,227516
16,19826,22781,32720,47060,51527,70502,76822,86689,94652,114567,127839,142491,159372,159372,176783,176783,191605,213369,213369,239679
17,19729,22590,32464,46535,50961,69340,75455,85069,92372,111401,123971,123971,137383,153366,169256,169256,182692,201481,201481,223989
18,19742,22593,32443,46668,51088,69677,75945,93004,103545,112393,124897,138511,155232,155232,171976,185376,185376,204845,228501,228501
19,19824,22491,32330,46578,50737,68805,74929,91897,101721,110195,122829,136328,151589,151589,167386,180636,180636,199589,199589,221930
20,19593,22516,32264,46290,56686,69246,75304,92232,102442,111326,123833,137893,154063,154063,170452,184721,205636,205636,230793,230793
21,19479,22140,31552,45297,55133,67247,73080,89440,99238,107669,119773,132642,147426,147426,162690,175477,175477,193614,193614,215083
22,19312,22086,31650,45046,55005,67056,73045,89316,98923,107326,119560,132508,147650,163899,163899,176482,195065,195065,217361,217361
23,19610,22272,31609,45340,55267,67098,73058,89110,98661,107252,119283,132252,147075,162381,162381,175303,193204,193204,214281,214281
24,19733,22404,31814,45509,55431,67539,73631,89779,99581,108142,133659,133659,149040,165131,165131,178374,197995,197995,222830,248573
25,19335,22048,31321,44633,53997,66026,71410,86979,96478,104513,128566,128566,143073,157489,157489,169906,187471,187471,207503,207503
26,19215,21763,31067,44240,53694,65108,70872,86159,95648,103674,127704,127704,142190,157610,170279,170279,187165,208388,208388,230956
27,18908,24297,30359,43207,52442,63661,69333,84086,93083,112138,123948,123948,137936,152062,163968,163968,181015,201043,201043,221576
28,18834,24126,30384,43194,52292,63701,77723,84397,93449,112999,125229,139753,154747,154747,167311,186332,209592,209592,209592,233816
29,18959,24030,30283,43246,52273,63426,77096,83891,92672,111432,123332,137261,151313,151313,163043,179771,179771,199430,199430,220019
30,19011,24314,30647,43430,52876,64175,77946,85028,93927,113014,125064,139561,154697,154697,166819,183694,204607,204607,227077,227077
31,18845,24096,30401,43164,52267,63576,77472,83957,93052,111471,123818,137470,152000,152000,163316,180235,200216,200216,200216,221020
