frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,21239,27069,40897,45410,58377,65810,71686,83805,91119,99130,100001,108924,117656,118357,130194,151474,153262,170897,175906,188203
1,15890,16701,20060,29845,37141,47307,53033,64877,71608,78276,86091,92724,101353,102702,110062,118595,120327,119956,137503,151032
2,15996,15996,23306,31902,40001,50596,57835,63359,76698,85337,86095,92755,101783,111450,121794,121467,135612,136377,148731,147505
3,15860,15860,24711,29284,37464,47364,54902,60211,66761,83087,84263,91374,98984,106735,106909,117909,131594,132548,148393,164046
4,15965,15965,24477,28898,37251,47115,54068,59903,67233,81616,85269,92675,101203,110174,122380,121992,134170,135589,150431,171607
5,15767,15767,24064,28076,36151,46022,51915,57031,64081,70601,81818,88565,96572,104767,104767,116847,130531,131182,145580,145580
6,15798,15798,24304,28239,36428,46347,52609,57582,64998,79824,81468,89238,99089,106566,117988,117823,129496,129770,145577,145577
7,15712,15712,24129,27998,36099,46034,52040,57619,64350,80377,80692,88175,96130,104196,115409,115409,129926,130165,147302,147302
8,15961,15961,24419,28322,36942,47495,53463,58944,66564,72571,82298,89956,100062,109030,121384,121384,135187,135187,153233,153233
9,15718,15718,24041,27873,36230,46134,46134,57055,64174,70878,79695,86540,95427,95427,103812,117108,117108,131344,131344,146725
10,15730,15730,24229,27993,36359,46235,52566,57589,65382,71462,80142,87627,98212,106331,117726,117726,129879,129879,145696,145696
11,15678,15678,24027,27669,36080,45971,51983,56732,64041,70643,79363,86196,95084,103460,103460,116762,130918,130918,146325,146325
12,15790,15790,24298,28189,36638,47058,53149,58489,66016,81977,81977,89177,99537,108503,120461,120461,134212,134212,151796,151796
13,15642,15642,23865,27593,36015,45954,45954,56872,64083,70651,79354,86087,95098,95098,103530,116641,130908,130908,130908,146124
14,15792,15792,24150,28035,36459,46540,52768,57644,65323,80163,80163,87661,98496,106395,118138,118138,130118,130118,146084,146084
15,15724,15724,23963,27923,36235,46355,52224,57078,64391,71141,79923,86838,95756,104165,104165,117603,131970,131970,147086,147086
16,15838,15838,24490,28262,37006,47404,53498,58857,66504,72732,82545,89938,100397,109213,109213,121477,135340,135340,153079,153079
17,15640,15640,21087,27807,36033,46190,46190,57074,64221,71008,79621,86453,95245,95245,103581,117157,117157,131632,131632,146668
18,15660,15660,24069,27896,36317,46228,52486,57575,65232,71475,80169,87756,98254,106499,118325,118325,130499,130499,146295,146295
19,15656,15656,23966,27738,36149,46041,51963,57040,64092,70802,79429,86332,95180,103586,103586,117115,131541,131541,147013,147013
20,15736,15736,24253,28180,36805,47155,53231,58653,66428,82246,82246,89729,100066,109174,121579,121579,135361,135361,153032,153032
21,15588,15588,23794,27546,36057,45862,45862,56787,63968,70708,79468,86304,95166,95166,103660,116841,116841,131072,131072,146452
22,15575,15575,23966,27574,36170,46345,52062,57510,64941,79538,79538,88274,97475,105367,116696,116696,129493,129493,147041,147041
23,15650,15650,23923,27680,36024,46149,52063,56917,63948,79732,79732,86628,95384,103909,117568,117568,131995,131995,146924,146924
24,15789,15789,24414,28084,36601,46905,52971,58693,65987,81708,81708,89727,99785,108327,108327,121041,135418,135418,151808,151808
25,15572,15572,23849,27623,35958,46016,51967,56902,64014,70802,79734,86639,95453,95453,103912,117406,117406,131947,131947,147550
26,15658,15658,24041,27685,36093,46295,51817,57405,64881,79718,79718,88164,97595,105462,116771,116771,130033,130033,147429,147429
27,15534,15534,23804,27545,35841,45733,51680,56757,63984,79380,79380,86292,95319,103437,117082,117082,131589,131589,147159,147159
28,15675,15675,24179,27942,36522,46811,52746,58422,65803,81324,81324,89574,99566,108162,108162,120941,135227,135227,151862,151862
29,15574,15574,23725,27504,36008,45826,51838,56805,63767,70650,79456,86421,95562,95562,103955,117286,117286,131780,131780,147193
30,15621,15621,24002,27675,36250,46261,52012,57605,64965,79892,79892,88414,97681,105549,116761,116761,129812,129812,147346,147346
31,15559,15559,23877,27637,36219,45907,51980,56957,64162,70900,79642,86551,95508,103923,117372,117372,131983,131983,147144,147144
32,15865,15865,24160,28069,36565,46859,52892,58497,65744,72431,81678,89911,99772,108357,108357,120995,135493,135493,151874,151874
33,15659,15659,23897,27657,36073,45803,51822,56900,63984,70666,79655,86555,95345,95345,104011,117491,117491,132112,132112,147491
34,15539,15539,24010,27773,36191,46215,51939,57633,64965,79740,79740,88288,97529,105343,116699,116699,129773,129773,147497,147497
35,15622,15622,23947,27652,36026,45902,51834,56924,63949,79823,79823,86538,95407,103957,117572,117572,131910,131910,147416,147416
36,15724,15724,24274,27931,36410,46807,52894,58425,65785,81497,81497,89529,99448,107986,107986,120891,135303,135303,152007,152007
37,15535,15535,23913,27693,36022,45796,51911,56820,64081,70846,79466,86304,95281,103503,103503,117374,117374,131853,131853,147392
38,15622,15622,24037,27587,36134,46241,51950,57708,65178,70742,79868,88294,97603,105547,116968,116968,130012,130012,147657,147657
39,15624,15624,23767,27448,35907,45860,51763,56857,63999,79856,79856,86778,95619,104020,117537,117537,132217,132217,147717,147717
40,15634,15634,24147,27961,36553,46845,52921,58491,65880,72419,81671,89497,99472,108038,108038,120734,135349,135349,151917,151917
41,15534,15534,23729,27629,35791,45764,51696,56490,63769,70418,79385,86410,94976,103281,103281,116983,116983,131196,131196,146767
42,15546,15546,24016,27720,36058,46073,51854,57408,64830,79574,79574,88089,97420,105178,116434,116434,129660,129660,147408,147408
43,15524,15524,23878,27576,35936,45797,51703,56760,64000,79607,79607,86388,95231,103592,117268,117268,132104,132104,147301,147301
44,15686,15686,24291,28113,36689,46773,52744,58558,65928,81399,81399,89425,99567,108107,108107,120795,135077,135077,151873,151873
45,15593,15593,23892,27647,35884,45760,51865,56767,63892,70632,79492,86550,95391,95391,103784,117086,117086,131825,131825,147185
46,15651,15651,23939,27672,36073,46232,51855,57464,65012,79979,79979,88400,97827,105703,116952,116952,130219,130219,147799,147799
47,15593,15593,23881,27543,35899,45763,51753,56720,63925,70848,79546,86314,95323,103594,117253,117253,131622,131622,147147,147147
