frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,116,117,117,117,117,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118
1,51481,53983,59145,61262,63120,63681,66717,70403,73324,84438,85385,100250,111789,112308,119464,129833,130282,140667,143139,155389
2,50973,54476,59000,59509,62911,66312,68304,75821,87809,105240,112603,123298,135746,148437,165969,165969,165969,165969,166723,167482
3,51011,54176,58576,59276,61746,61514,70799,80538,95402,111472,111920,133485,146604,163467,163467,163467,163467,163424,164530,165836
4,51545,54684,58311,60044,62430,62960,63979,67275,71077,76043,77015,83943,89109,93805,100385,108007,166505,166505,167250,168628
5,50849,53345,59089,59669,61649,62117,62725,66769,66189,71959,75197,79328,85141,88169,92702,100295,108072,122893,161753,162031
6,50833,53485,58288,59257,59969,62101,61815,64954,65765,70002,76261,79044,85366,89380,91826,155141,105123,113536,129129,160982
7,50968,53942,58962,59499,61720,61143,66167,67655,66546,71180,77231,80563,85815,90641,95267,107624,109092,162488,131969,137300
8,50025,52950,57243,58665,59488,63236,60541,66345,68504,71136,74523,80079,84631,87807,155934,100033,105555,121605,127139,128689
9,50026,52490,57931,58702,59938,60137,63832,66577,69556,71245,80095,80694,84605,140448,97093,100203,155474,120424,129094,161069
10,51053,54217,59258,59440,62060,63927,63489,64740,66774,73783,75107,81764,86055,92840,95064,101174,116604,119804,162577,138362
11,50516,53005,56951,59225,60019,60498,62044,66079,65522,71489,74187,82909,109651,88970,93698,100111,105604,116338,128033,129410
12,50156,52956,56435,59062,59634,61137,65059,65623,65063,71020,77666,79483,87867,89242,93729,153580,110592,115596,126703,129650
13,51206,54032,57004,59430,60928,62388,63394,63895,66413,71325,76920,111956,86707,91462,95572,111856,109060,121067,132505,162399
14,50202,53088,56902,59309,60943,61947,60742,63463,69162,71169,76374,80291,85405,89758,118664,99914,153565,154417,129064,134680
15,50480,53326,57309,59118,63144,61184,63350,65357,68030,72264,73907,79757,84326,88579,95161,98983,110330,121016,126672,133012
16,51107,54021,59048,59251,60832,62408,63300,63628,66243,72550,87340,79656,84798,142140,97330,100515,111835,119240,129647,135725
17,50374,53514,56874,58620,61194,60505,60711,62997,65645,70723,74168,82913,127858,91231,153227,99224,105177,116146,128404,129170
18,50491,53305,57903,58661,62201,62686,63142,63079,67826,71160,73657,82287,86836,88721,96765,152669,106044,119902,130584,156837
