frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,137,137,137,138,138,138,138,138,138,138,138,138,138,139,139,140,139,139,139,140
1,1942,1940,1940,1941,1941,1942,1943,1944,1945,1944,1944,1944,1944,1945,1944,1944,1945,1945,1946,1946
2,1942,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
3,1943,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
4,1943,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
5,1943,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
6,1943,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
7,1943,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
8,1943,1945,1947,1948,1949,1950,1952,1954,1954,1954,1954,1954,1956,1956,1956,1956,1956,1956,1956,1956
9,5383,7703,9161,10305,10887,11905,13146,13827,14327,14979,15319,15854,16747,17352,15957,15957,16770,16770,17354,17354
10,5386,7704,9161,10313,10887,11902,13137,13840,14337,14982,15328,15882,16760,17371,15990,15990,16783,16783,17375,17375
11,5371,7691,9153,10286,10806,11863,13038,13784,14281,14942,15311,15827,16686,16971,15927,15927,16706,16706,17295,17295
12,5371,7689,9148,10284,10806,11862,13038,13778,14277,14941,15312,15828,16683,16973,15927,15927,16705,16705,17290,17290
13,5376,7690,9155,10254,10804,11870,13029,13780,14266,14936,15301,15802,16709,16992,15911,15911,16733,16733,17313,17313
14,5376,7696,9157,10256,10808,11867,13026,13782,14261,14944,15288,15802,16710,17002,15915,15915,16735,16735,17320,17320
15,5389,7704,9155,10211,10809,11914,13032,13791,14257,14941,15917,15944,16726,16990,15950,15950,16755,16755,17340,17340
16,5387,7706,9153,10208,10803,11907,13022,13778,14263,14941,15908,15936,16723,16983,15936,15936,16753,16753,17336,17336
17,5387,7710,9159,10225,10812,11909,13025,13766,14249,14921,15889,15916,16720,16975,15919,15919,16741,16741,17306,17306
18,5387,7707,9154,10212,10812,11903,13019,13775,14261,14929,15893,15922,16716,16974,15927,15927,16740,16740,17316,17316
19,5387,7707,9154,10220,10812,11905,13016,13775,14261,14926,15893,15922,16717,16974,15927,15927,16740,16740,17316,17316
20,5387,7707,9154,10220,10812,11905,13016,13775,14261,14926,15893,15922,16717,16974,15927,15927,16740,16740,17316,17316
21,5387,7706,9153,10222,10810,11905,13019,13774,14251,14923,15894,15926,16716,16979,15927,15927,16743,16743,17320,17320
22,5387,7707,9156,10222,10812,11910,13017,13774,14240,14932,15892,15921,16718,16974,15926,15926,16742,16742,17316,17316
23,5388,7700,9141,10224,10807,11877,13028,13801,14256,14929,15911,15939,16720,16999,15939,15939,16742,16742,17342,17342
24,5388,7700,9141,10232,10807,11877,13028,13792,14262,14929,15911,15939,16720,16999,15939,15939,16742,16742,17343,17343
25,5388,7700,9141,10220,10807,11877,13017,13795,14259,14925,15910,15937,16720,17004,15935,15935,16746,16746,17349,17349
26,5388,7700,9141,10227,10802,11877,13022,13783,14259,14925,15905,15931,16718,17000,15934,15934,16743,16743,17342,17342
27,5388,7700,9141,10225,10802,11877,13017,13784,14259,14925,15906,15933,16721,17001,15935,15935,16748,16748,17344,17344
28,5388,7700,9137,10232,10802,11877,13016,13792,14259,14925,15918,15944,16723,17002,15946,15946,16748,16748,17345,17345
29,5387,7703,9148,10243,10789,11878,13021,13778,14244,14927,15921,15947,16729,17004,15949,15949,16739,16739,17349,17349
30,5387,7704,9140,10236,10789,11887,13036,13781,14245,14938,15925,15951,16732,17012,15953,15953,16744,16744,17356,17356
31,5387,7703,9137,10236,10793,11888,13034,13790,14246,14934,15923,15949,16728,17012,15950,15950,16738,16738,17358,17358
32,5390,7703,9145,10238,10794,11889,13033,13775,14256,14939,15911,15937,16729,17011,15940,15940,16740,16740,17358,17358
33,5382,7719,9140,10237,10808,11907,13007,13765,14263,14905,15881,15914,16665,16966,15918,15918,16687,16687,17338,17338
34,5384,7718,9142,10236,10798,11908,13013,13764,14270,14911,15867,15904,16660,16979,15910,15910,16679,16679,17350,17350
35,5369,7730,9149,10242,10824,11912,13017,13778,14265,14777,15873,15908,16661,16973,15914,15914,16683,16683,17348,17348
36,5369,7727,9149,10242,10807,11912,13012,13775,14264,14784,15870,15902,16669,16981,15908,15908,16686,16686,17353,17353
