frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,116,117,117,117,117,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118
1,42750,43162,44430,49181,48729,52097,52931,54508,56528,58347,63747,65144,69655,76654,85969,95252,95654,103276,111945,111945
2,44081,43121,45036,47344,51016,52125,53978,60210,62990,69089,84763,93488,102843,111507,122108,133726,133726,145618,159240,159240
3,42735,43077,48656,48008,51118,54592,53939,59575,63166,69184,93548,93927,102814,111919,134348,134348,145866,159690,159690,159690
4,40894,40894,44023,49859,49252,50806,52643,53551,59862,65496,57829,62910,62199,63283,72699,76520,77963,79399,92545,92545
5,44519,43824,47547,49472,51717,53939,55000,56002,57213,61014,62064,63822,103755,112513,69801,82974,79729,84256,90313,113518
6,43989,43695,45539,48952,52197,53001,53929,56609,56636,58614,61227,63492,65224,66532,70585,71517,113160,76199,90010,95777
7,43941,43821,43462,48934,51172,55455,55804,55085,57455,58113,61106,61391,63549,64862,69135,70801,79697,135121,86374,100859
8,42198,41029,44082,46312,50769,51031,53016,53701,55103,56086,58872,60830,61863,62451,116527,116527,71685,80366,138492,151672
9,44531,43982,47074,49793,53136,53954,56009,56777,57412,59006,61262,66778,65230,65230,77217,78906,136530,84669,96544,103243
10,44604,44458,45137,49053,52712,53018,54130,56470,57150,58494,60382,63071,63675,65263,70011,71988,79814,80430,91438,96540
11,44011,44028,45081,48503,51212,52971,55735,56139,57114,58942,60355,63292,64807,105224,69930,72058,75696,136047,91124,94349
12,44815,41223,43121,49769,50885,51010,52930,53282,55797,56261,58367,64152,66604,62976,66300,67866,71356,84765,92305,92305
13,43806,43806,48329,50709,54227,54484,54867,56041,57516,58627,62789,63362,66897,66720,70957,137074,75834,85776,91791,98968
14,45767,45767,46402,49310,53120,54071,56133,55615,57243,59620,59688,62758,65840,65558,96610,75226,137330,76694,88261,92499
15,45745,45745,46327,49734,53105,53629,56026,56033,57642,58925,61302,65315,67243,65314,70378,72011,75854,76200,148568,148568
16,44587,43750,43316,49904,51535,51858,51658,54688,55205,57087,59495,61976,63789,98328,70116,69196,72056,129765,89690,93397
17,45684,45684,48990,49913,53298,55265,56283,58641,59128,60070,62375,64383,67943,67646,71551,74140,76907,85872,92035,98360
18,45641,45641,48992,49423,53136,54220,56019,56690,58429,59808,61591,63053,65996,66944,126568,126575,76638,76983,88458,92729
19,45725,45725,48982,49265,53332,54386,56178,58750,58506,59747,60729,63421,66064,67718,71823,76305,138933,138933,89464,91919
20,45274,42916,44555,48051,50846,52674,52932,54790,54569,56326,59758,60246,68802,64200,67077,70590,72493,81946,83037,86761
21,46533,46533,48867,49960,53445,56751,58122,57832,59712,60640,62150,64967,70436,117239,72333,78275,77973,80318,166737,166737
22,46457,46457,47062,50290,54864,55844,57320,57531,58997,60644,63615,63528,66757,67749,70708,73831,75259,82650,98701,99011
23,46461,46461,50490,50176,54839,55057,57650,58176,59803,60647,63768,63479,65732,65732,70216,74610,75921,77865,89361,92985
24,43811,42369,43773,48335,52031,53020,53612,55863,56927,57735,59578,61468,64708,63958,67161,120108,131817,131817,84096,88685
25,44962,44962,49649,50693,55594,57245,58342,58889,60053,60695,64442,65451,109625,68110,129970,77923,88197,88351,95401,97768
26,47301,47301,48408,50137,54075,57012,58326,58808,60024,60767,63188,65180,67012,67012,73212,74859,76651,79439,94730,96936
27,44985,44985,49401,50546,54128,56697,58589,58821,60296,60713,62699,64169,67074,67074,71802,75327,76204,81001,90088,95377
28,44693,44693,48312,47180,52586,52273,54399,56440,56686,57556,60457,61654,62944,62944,67495,71508,72470,132398,84205,144192
29,44938,44938,49750,52124,55538,56921,57601,60378,60080,60255,63782,65614,66429,118631,72499,85292,142809,88333,96160,100591
30,48235,48235,49651,53782,55635,57288,58058,60655,60471,60988,63629,65201,67437,69332,71323,74400,87313,88264,119196,95879
31,44936,44936,49123,51372,55763,56685,56608,60458,60576,60394,63763,64577,67034,67034,71539,129813,80763,79836,90386,96885
32,45164,45164,48344,51669,51534,53214,55572,57141,56452,58129,60878,61701,65137,65137,68685,71844,72848,76265,84689,89633
33,46937,46937,50893,53043,56718,55212,57767,60072,59589,62114,63865,67500,67378,68464,130731,75137,79002,155911,170948,143622
34,45681,45681,51029,52220,57014,57588,57013,60424,60074,61294,64009,64964,67208,67208,72381,73304,76529,89764,94187,99945
35,46990,46990,51144,52185,56936,57320,57780,60353,59529,61059,63730,65269,68126,68126,72012,75460,99770,80404,82755,97144
36,45028,45028,45706,50129,52610,53253,54762,56952,57337,58239,60047,61979,63949,63949,68827,80145,72711,84653,79491,88534
