frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,16485,27547,31218,40690,49722,56754,61552,67567,73573,90561,96905,103601,105541,112408,122283,123021,134255,134804,148591,149368
1,12311,25100,39551,52234,57646,69558,77391,94326,96921,112759,124244,126101,139564,149768,163550,165613,166778,168313,182251,196764
2,10584,23138,35193,46290,53958,68245,76942,86629,102890,104691,122788,136621,148193,150723,164006,167918,180758,182121,197323,212359
3,10544,23765,34004,45509,53136,62335,76466,86248,94808,104460,112351,123924,135869,148861,163734,167324,179918,182379,197485,209944
4,10704,20593,33935,41601,52911,62661,75701,85818,94812,104973,113500,125354,136941,149382,164594,168416,170661,185440,199217,200814
5,10356,20929,30244,41526,52631,62450,69119,86102,94539,104729,113762,125348,136926,149509,149237,167706,171086,185101,199325,201539
6,10302,21075,30959,41713,52879,63149,70528,86982,95602,105496,115562,126574,139316,151936,151936,170125,184248,187889,200204,204217
7,10293,20615,30908,41529,52197,63184,70929,86487,95558,105031,115217,126509,138714,151726,151948,168611,172986,187416,188031,204384
8,10459,21109,34417,42134,52859,63306,72405,77397,97624,106784,116521,128122,141906,154571,155154,170166,175315,188277,190476,206655
9,10397,20603,30315,42039,52402,63160,72812,77866,88593,106891,116901,128272,128272,141819,155274,170347,175899,187738,190640,206798
10,10767,20838,30726,42268,53031,62949,72910,78987,89408,106474,116891,128762,129043,141460,156407,171050,176134,188829,192183,208452
11,10471,21174,30765,41875,52249,62781,72751,80073,90251,105963,116499,128026,128927,141675,156092,170538,176415,187649,191653,207834
12,10296,21029,31530,42761,52945,63860,73518,90817,99114,108379,119075,131143,144378,144378,159041,174644,178573,191177,195104,211422
13,10558,21011,31131,42485,52895,63666,73408,80836,90939,98911,119068,130815,131640,144615,158323,158147,178759,179694,195286,208974
14,10476,21281,31207,42086,52227,63242,72698,83311,91880,98672,118033,118033,130745,143051,156455,156455,176910,178910,193376,208799
15,10477,20772,31566,41884,52284,63090,72723,83057,91881,107593,118158,118158,143235,143235,156358,159169,176915,178639,193442,207757
16,10506,21047,31387,42238,52802,63217,73422,83699,93118,108479,118917,118917,131692,144632,157951,174823,178091,179798,194890,208502
17,10470,20952,31240,42260,52534,63036,73090,84057,99391,98467,118534,118770,131691,144379,157750,159329,177122,178744,194166,208411
18,10324,20709,31017,42206,51736,62574,72334,81918,90810,107313,106819,118466,141895,142189,155019,171867,176108,178370,191830,206226
19,10529,20712,30981,42126,51860,62426,72397,82458,97610,107489,116846,128727,128727,142787,154704,171506,175731,189117,192040,206647
20,10222,20691,30959,41617,51852,61946,72572,82429,89972,105963,116002,128227,140476,142451,153773,169925,174735,187320,189831,204876
21,10460,20587,31250,41331,51848,61994,72832,88053,96482,105696,115527,127645,140030,153258,153258,169353,174649,187335,189714,204928
22,10298,20533,30948,41068,51355,61845,73348,86531,90276,105402,114758,126139,139104,151618,153722,168429,176530,187171,190382,204989
23,10334,21025,31206,41407,51406,62080,72760,86502,97319,105605,114904,126272,139056,151711,155712,167706,177078,187384,190192,205179
24,10291,20889,31013,41012,51038,61102,72015,85319,94117,104466,113715,124994,137142,149757,152828,165201,173575,186416,189958,203522
25,10580,20820,31269,41099,51313,61420,72240,85427,94024,103983,113673,124884,137000,150022,165276,165276,173628,186963,189572,203466
26,10326,22858,30838,40926,51862,61494,72790,84560,94146,104370,113653,124820,137446,137709,165815,165815,174560,185318,188935,204001
27,10524,19558,33315,40774,52172,62015,72545,84054,93985,104247,113682,124747,137077,149533,149893,164874,182365,184948,189245,203983
28,10208,20429,30350,41219,52050,61935,79855,77906,94935,105318,114628,125892,138026,150661,166492,166492,173488,187426,201116,204666
29,10508,20433,30661,41287,51925,62179,70530,85374,94737,105640,114723,125586,138038,138339,150745,166644,174023,187521,198233,204679
30,10364,22585,30683,41272,51721,61891,71008,84414,93960,103965,113890,124883,137131,137814,149725,166029,173689,186858,198299,203578
31,10322,19717,33093,41187,51842,61871,71142,84054,93611,104358,113758,124769,136416,149096,150544,164762,182791,186321,197884,202816
32,10439,20553,30701,41560,52224,63075,73603,85578,96506,106609,116679,128348,141405,154127,169673,169673,174431,188287,201944,207458
33,10477,20529,30824,41961,52120,62922,73728,77968,87128,106879,116659,128302,128302,154769,154769,170169,175884,188021,190664,208039
34,10584,21075,31091,41630,52151,62716,75697,86210,89067,106302,116698,128366,128251,141081,153877,170614,176050,189202,191508,207696
35,10306,20485,30977,41754,52018,62568,74617,86231,96832,107195,116749,128287,128287,141523,153775,170131,175977,188732,192212,207384
36,10332,21065,31282,41901,52481,62825,72599,77993,97112,106816,117110,128696,128696,140901,154485,170484,176716,176895,191887,207323
37,10570,21013,31026,41751,52190,62583,72521,85802,88944,95900,116955,116955,128757,140926,153881,170080,175226,177282,192393,207045
38,10414,20775,31603,41919,52860,63313,73471,86877,97876,97631,117467,129067,129957,142345,155348,171479,176972,189793,192403,207253
39,10393,20891,31539,41974,52612,63205,73190,78808,90003,97502,107299,129158,142180,142180,155367,171278,177347,189019,192676,207211
40,10457,21180,31492,42628,53476,64238,73577,80803,99130,99130,109545,120052,144574,144945,158117,174697,179663,191247,195030,210307
41,10507,21145,31524,42548,53242,64114,73502,80905,88685,98635,109375,119983,131503,145164,157791,157791,177695,178499,194337,209475
42,10642,20951,31641,43271,53612,65155,74354,82680,92372,101874,111511,121930,133845,147376,160482,160482,179887,182873,197618,211399
43,10411,20933,31488,42873,49779,64993,74333,82709,93625,102627,111550,121913,133636,147545,160541,160541,179306,182518,197431,210897
44,10477,21172,31777,43452,54466,65812,75648,84183,93452,104184,112714,123872,136609,149991,163487,163487,181760,184934,198142,199536
