frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,2677,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2683
1,1996,2006,2020,2026,2036,2041,2052,2056,2054,2058,2066,2069,2069,2077,5153,5153,5150,5150,5152,5152
2,247,251,256,263,265,267,283,284,287,288,289,294,294,298,298,302,304,304,304,308
3,251,256,263,269,284,287,289,294,298,302,304,308,308,315,315,318,321,321,321,326
4,254,265,283,288,294,298,304,308,315,318,321,326,326,329,329,329,336,336,336,336
5,263,284,289,302,308,315,321,326,329,329,336,336,336,343,343,344,344,344,344,344
6,263,288,302,308,318,326,329,329,336,336,343,344,344,344,344,344,344,344,344,344
7,267,294,304,318,326,329,336,336,343,344,344,344,344,344,344,344,344,344,344,344
8,269,298,315,321,329,336,336,343,344,344,344,344,344,344,344,344,344,344,344,344
9,283,302,318,326,329,336,343,344,344,344,344,344,344,344,344,344,344,344,344,344
10,284,304,321,329,336,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344
11,287,308,326,329,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
12,288,315,326,336,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
13,289,315,329,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
14,294,318,329,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
15,294,321,329,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
16,298,321,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
17,298,326,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
18,302,326,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
19,302,329,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
20,304,329,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
21,304,329,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
22,308,329,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
23,308,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
24,308,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
25,315,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
26,315,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
27,315,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
28,318,336,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
29,318,343,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
30,2995,3023,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3027
31,713,770,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802
32,753,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786
33,753,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
34,752,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783
35,748,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774,774
36,753,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790
37,756,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785
38,760,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783
39,770,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795
40,767,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
41,771,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794
42,772,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786
43,771,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783
44,785,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804
45,786,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789
46,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789,789
47,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794
48,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783,783
49,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802
50,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792,792
51,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788
52,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808
53,793,793,793,793,793,793,793,793,793,793,793,793,793,793,793,793,793,793,793,793
54,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795,795
55,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794
56,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788
57,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808
58,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
59,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794
60,3461,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3464,3467
61,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802
62,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877,4877
63,121761,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580,298580
64,86682,135008,332873,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240,339240
65,120842,184138,221975,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202,439202
66,117727,271897,298935,308413,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544,493544
67,49719,146023,315869,362182,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155,540155
68,32271,80823,180472,359674,587198,682648,682648,682648,682648,682648,682648,682648,682648,682648,682648,682648,682648,682648,682648,682648
69,22819,62132,90538,154873,225528,621212,711239,711239,711239,711239,711239,711239,711239,711239,711239,711239,711239,711239,711239,711239
70,24062,60675,81754,152729,120071,251814,666938,795832,795832,795832,795832,795832,795832,795832,795832,795832,795832,795832,795832,795832
71,10354,31082,41869,77091,69164,78864,181207,327110,766120,766120,766120,766120,766120,766120,766120,766120,766120,766120,766120,766120
72,15430,40917,55583,100360,89146,114779,123653,309664,322492,821414,954614,954614,954614,954614,954614,954614,954614,954614,954614,954614
73,7104,16618,22568,41859,33131,53349,60288,154216,251668,207206,682226,826071,826071,826071,826071,826071,826071,826071,826071,826071
74,11050,22895,32968,61069,53227,66834,79937,170126,263736,377554,392616,555715,967557,1131547,1131547,1131547,1131547,1131547,1131547,1131547
75,4181,8037,11060,21672,18660,29184,33093,75109,103688,183208,207334,338817,488568,880806,1027452,1084045,1084045,1084045,1084045,1084045
76,7888,16660,20231,38254,30540,45421,51181,114812,151129,204597,255187,346029,443511,470927,645372,1045084,1208682,1276735,1276735,1276735
77,7995,11343,19751,13585,41106,31667,39595,28266,43345,54727,61253,100542,128393,147090,245696,362167,383660,741372,876913,876913
78,8940,17463,24021,28034,45183,45478,53033,71269,92249,138163,156396,216018,252911,311038,421270,533436,571497,754165,1162206,1342202
79,4259,12136,17460,35228,15380,42239,35304,47860,43975,31564,38139,52506,61360,68851,116246,151391,323856,466255,357570,375877
80,6727,15862,21739,32608,28436,45586,45990,60659,72807,71497,84050,112952,137651,156727,217673,256650,436349,557945,600674,589483
81,5541,6626,10447,10291,26739,13522,25842,26659,41155,54223,47381,36962,38923,49924,76944,94667,202370,290014,309753,508934
82,6179,11688,17059,21768,31054,26857,35599,40061,58218,65277,65749,65556,79228,93184,128275,159504,261325,308039,384903,521631
83,9862,16175,21879,27917,51124,39707,55150,65944,68485,74229,102025,100234,124689,141598,82328,60436,42346,50197,55760,104617
84,8833,16984,25031,31456,46818,41892,57964,68008,77616,95127,111426,111124,124161,154732,125343,126089,154893,194183,223504,315195
85,2917,6534,13177,17438,8430,34328,32988,33696,25197,30570,23677,35825,30361,23053,120419,157920,182064,92258,114631,42164
86,6400,13299,21937,27463,27254,41339,46365,57026,56613,66862,66272,75460,75206,74666,122294,150714,186438,150840,186676,147202
87,8014,8735,9597,12244,29631,12860,47972,26535,50929,61774,80336,54227,73233,87280,34003,39751,42949,51216,42795,150036
