frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,4767,4767,4767,6388,10041,12604,16047,19209,22861,24970,26891,31431,33928,36454,39280,39280,42155,45379,48490,52127
1,36552,36552,36552,35413,34345,31007,30404,26766,25849,24169,21059,19365,12937,6209,1687,1687,1014,1013,875,791
2,1034,12407,16508,35806,35479,36170,36870,37491,38145,37411,38682,39557,37456,39957,38237,38237,40211,37202,40248,37809
3,185,417,537,692,749,777,816,877,918,920,895,990,901,948,955,955,1099,1036,1060,1098
4,30497,49596,49596,52377,61502,68375,76127,84824,93941,99293,103198,110802,116098,121116,119304,119304,121390,131291,137430,142011
5,425,442,502,610,679,698,534,777,810,796,830,934,897,818,826,826,854,837,819,848
6,4096,4807,7747,8689,11387,13268,13778,18316,22408,24237,26592,31136,33734,36778,36855,36855,38962,45150,47937,52180
7,447,526,601,651,761,760,743,893,938,1025,1042,1068,1057,1157,1189,1189,1191,1350,1312,1636
8,80936,81484,99258,105470,113832,124594,126640,136314,139389,141040,140141,147912,146316,149827,149323,149323,154860,158340,164826,162988
9,433,471,476,464,494,435,498,570,692,793,893,1018,1093,1140,1555,1555,1832,1914,1990,2117
10,5506,6550,7226,7758,7634,19110,21044,24503,29075,32307,40554,47435,58768,57750,69254,69254,72263,76684,79511,78737
11,417,400,463,474,508,828,940,911,1117,1173,952,1171,1386,1365,1873,1873,2104,2244,2321,2260
12,81681,51912,56947,60791,57700,92004,93827,96693,105683,105279,115956,133941,152572,150680,177091,177091,191848,189749,201907,201483
13,426,418,539,754,878,846,946,1209,1328,1896,1816,1769,1797,1813,1860,1955,1985,2247,2092,2439
14,7288,7819,18789,22625,32353,32345,38416,55406,63283,75986,83135,86010,86559,94378,99692,117555,115828,138656,135957,150685
15,515,582,944,1022,1179,1188,1231,1514,1648,1912,2165,2177,2127,2652,2920,3359,3155,4189,3938,4124
16,51931,51058,93393,98699,111630,107092,112017,146487,153767,179586,192974,206638,201539,200632,220468,249594,242674,282405,276459,328518
17,481,515,542,527,558,754,850,729,813,778,861,864,1063,1179,1175,1095,1243,1101,1248,1006
18,7707,8219,9010,8976,14662,39278,44898,52435,57934,58962,63303,67235,75200,80536,88149,86730,93630,93030,99388,93228
19,514,527,541,552,687,1150,1261,1462,1682,2072,2135,2259,2576,2724,3110,3177,3255,3385,3526,3343
20,45050,48863,45355,44256,57101,98341,109282,125993,130460,131285,134319,146408,159007,158150,171663,165373,187284,184116,184805,183123
21,513,534,718,981,1052,922,1003,1040,1025,1168,1633,1642,1777,2093,1960,2903,1863,2869,3166,2827
22,7193,7762,25076,38191,49150,49695,57027,59863,65634,72693,96119,103998,108843,132654,144014,144171,143102,160592,159773,160567
23,570,733,1161,1338,1690,1639,1958,1916,2163,2328,3070,3217,3482,4103,4104,4227,4083,4845,4642,4934
24,36914,66487,113315,131739,147405,153842,158440,162320,170301,182775,247757,244796,265834,310734,372540,362564,359744,363337,357253,356107
25,574,473,621,616,658,674,689,733,793,853,688,770,733,702,684,698,716,791,895,973
26,6668,7423,8823,8934,9711,9496,24792,56419,61195,67872,36555,70134,75760,50886,22635,46358,59840,88654,94116,101486
27,645,714,678,746,743,796,1172,1437,1552,1704,1356,1615,1775,1357,1007,1441,1554,2122,2423,2364
28,56812,69496,64660,66349,67250,66074,103104,158082,175949,190174,110447,176223,195601,137941,92284,127201,143841,203664,228023,229689
29,421,440,427,656,870,858,973,594,660,664,2244,1127,1067,2625,2137,2706,2795,2713,2362,2848
30,6107,6533,10166,25963,31547,34279,44946,47669,52971,58606,73084,70046,72875,89674,62386,83631,97192,136962,123022,149162
31,595,738,853,1145,1260,1309,1520,1610,1742,2150,2443,2447,2518,2940,2148,3171,3019,4609,4051,5077
32,59242,55615,71427,107072,110527,115411,137214,135183,143094,152723,192652,182599,195547,224347,161487,203829,221971,326023,267559,316056
